項目物理名,項目論理名,ドメイン物理名,ドメイン論理名,データ型,全体桁数,小数桁数,コンディション物理名,コンディション論理名,備考,登録担当者,登録日付,更新担当者,更新時間
"ATARI_HONSU","当り_本数","","","9","9","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"ATARI_SURYOU","当り_数量","","","9","3","0","","","","sis01","2008/04/25 12:14:28","sis01","2008/04/25 12:14:28"
"AZUKARI_DENPYOU_HAKKOU_KBN","預り_伝票_発行_区分","","","X","1","0","","","","sis01","2008/04/25 12:14:28","sis01","2008/04/25 12:14:28"
"AZUKARI_GOUKEI_KINGAKU","預り_合計_金額","KINGAKU12","金額12","9","12","0","","","","base01","2008/11/10 10:52:28","wt02","2009/10/30 09:46:13"
"AZUKARI_HOSYOUKIN_KIN12","預り_保証金_金額12","","","9","12","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"AZUKARI_HOSYOUKIN_KIN12_GOUKEI","預り_保証金_金額12_合計","","","9","12","0","","","","fsol10","2011/01/04 19:32:50","fsol10","2011/01/04 19:32:50"
"AZUKARI_KBN","預り_区分","","","X","1","0","","","","sis01","2008/04/25 12:14:28","lpa01","2008/08/20 13:07:38"
"AZUKARI_KBN_NM","預り_区分_名称","","","N","6","0","","","","lpa00","2008/07/11 13:47:19","lpa00","2008/07/11 13:47:19"
"AZUKARI_KENSU","預り_件数","","","9","6","0","","","","base01","2008/12/24 13:30:28","base01","2008/12/24 13:30:28"
"AZUKARI_KINGAKU","預り_金額","","","9","8","0","","","","sis05","2008/07/02 11:29:56","sis00","2008/07/28 20:24:24"
"AZUKARI_TOK_CD","預り_得意先_コード","","","X","7","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"AZUKARI_TOK_NM_RYAKU","預り_得意先_名称_略","","","N","30","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"AZUKEIRE_BATCH_UPDATE_DT","預入_バッチ_更新_日時","","","X","17","0","","","","fsol10","2011/01/04 19:41:26","fsol10","2011/01/04 19:41:26"
"AZUKEIRE_BI","預入_日","","","X","8","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"AZUKEIRE_GAMEN_UPDATE_DT","預入_画面_更新_日時","","","X","17","0","","","","fsol10","2011/01/04 19:41:01","fsol10","2011/01/04 19:41:01"
"AZUKEIRE_GENKIN_KIN12","預入_現金_金額12","","","9","12","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"AZUKEIRE_GENKIN_KIN12_GOUKEI","預入_現金_金額12_合計","","","9","12","0","","","","fsol10","2011/01/04 19:58:30","fsol10","2011/01/04 19:58:30"
"AZUKEIRE_GINKOU_CD","預入_銀行_コード","","","X","4","0","","","","fsol10","2011/01/07 13:24:21","fsol10","2011/01/07 13:24:21"
"AZUKEIRE_GINKOU_SITEN_CD","預入_銀行_支店_コード","","","X","3","0","","","","fsol10","2011/01/07 13:24:40","fsol10","2011/01/07 13:24:40"
"AZUKEIRE_GO_KABUSOKU_SINSEI_NO","預入_後_過不足_申請_番号","","","X","16","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"AZUKEIRE_GOUKEI_KIN12","預入_合計_金額12","","","9","12","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"AZUKEIRE_KIN12","預入_金額12","","","9","12","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"AZUKEIRE_KOGITTE_KIN12","預入_小切手_金額12","","","9","12","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"AZUKEIRE_KOGITTE_KIN12_GOUKEI","預入_小切手_金額12_合計","","","9","12","0","","","","fsol10","2011/01/04 20:07:33","fsol10","2011/01/04 20:07:33"
"AZUKEIRE_KOGITTE_MAISU","預入_小切手_枚数","","","9","3","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"AZUKEIRE_KOUZA_NO","預入_口座_番号","","","X","7","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"AZUKEIRE_KOUZA_SYUBETU","預入_口座_種別","","","X","1","0","","","","fsol10","2011/01/07 13:25:03","fsol10","2011/01/07 13:25:03"
"AZUKEIRE_SINSEI_MEI_NO","預入_申請_明細_番号","","","9","6","0","","","","fsol10","2010/11/15 11:16:01","fsol10","2010/11/15 11:16:01"
"AZUKEIRE_SINSEI_NO","預入_申請_番号","","","X","16","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"B_UPD_APSERVER_IP","バッチ_更新_アプリサーバ_ＩＰ","","","N","15","0","","","","sis02","2008/04/24 15:34:25","wt01","2008/08/28 21:14:10"
"B_UPD_CLIENT_IP","バッチ_更新_クライアント_ＩＰ","","","N","15","0","","","","sis02","2008/04/24 15:35:34","wt01","2008/08/28 21:14:10"
"B_UPD_DATETIME","バッチ_更新_日時","DATETIME17","日時17","X","17","0","","","","sis02","2008/04/24 15:37:25","wt02","2009/10/30 09:47:08"
"B_UPD_PG_ID","バッチ_更新_プログラム_ＩＤ","","","X","8","0","","","","sis02","2008/04/24 15:32:22","wt01","2008/08/28 21:14:10"
"B_UPD_USER_ID","バッチ_更新_ユーザ_ＩＤ","","","X","7","0","","","","sis02","2008/04/24 15:36:25","Administrator","2008/11/18 21:55:36"
"BACKCOLOR","背景色","","","N","40","0","","","","wt02","2008/11/19 14:33:32","wt02","2008/11/19 14:33:32"
"BAIKA","売価","","","9","6","0","","","","sis05","2008/06/30 19:05:35","sis05","2008/06/30 19:05:35"
"BAIKA_BETU","売価_別","","","F","0","0","","","","sis05","2008/06/30 18:39:34","sis05","2008/06/30 18:39:34"
"BAIKA_HATARI_KINGAKU","売価_本当り_金額","TANKA","単価","9","8","2","","","","lpa02","2008/08/21 10:52:05","fsol07","2009/12/11 10:01:48"
"BAIKA_SETTEI_KBN","売価_設定_区分","","","X","1","0","","","","lpa02","2008/06/02 10:35:24","lpa02","2008/06/02 10:35:24"
"BAIKA_SETTEI_KINGAKU","売価_設定_金額","","","9","6","0","","","","sis01","2008/04/25 12:14:28","lpa01","2008/06/02 14:07:09"
"BAIKA_SYOUSAI_ITIRAN","売価_詳細_一覧","","","N","12","0","","","","lpa02","2008/07/10 17:00:56","lpa02","2008/07/10 17:00:56"
"BAIKA_TAX_KOMI","売価_消費税_込","","","9","6","2","","","","sis01","2008/04/25 12:14:28","sis01","2008/04/25 12:14:28"
"BAIKA_TAX_NUKI","売価_消費税_抜","","","9","6","2","","","","sis01","2008/04/25 12:14:28","sis01","2008/04/25 12:14:28"
"BAIKA_TEIRITU","売価_定率","REBETE_RITU","リベート率","9","4","2","","","","lpa02","2008/08/21 10:51:35","wt02","2009/10/30 09:49:01"
"BAIKA_ZYOUKEN_BIKOU","売価_条件_備考","","","N","40","0","","","","lpa01","2008/06/10 13:34:08","lpa01","2008/06/10 13:34:08"
"BAIKA_ZYOUKEN_NM","売価_条件_名称","","","N","40","0","","","","lpa01","2008/08/20 10:37:31","lpa01","2008/08/20 10:37:31"
"BARA_NOUHINZI_NEBIKI","バラ_納品時_値引","","","9","6","2","","","","fsol10","2008/07/16 14:36:54","fsol10","2008/07/16 14:36:54"
"BARA_SEIKYUZI_NEBIKI","バラ_請求時_値引","","","9","7","2","","","","fsol10","2008/07/16 14:39:16","fsol10","2008/07/16 14:39:16"
"BARA_TANKA","バラ_単価","","","9","6","2","","","","sis01","2008/04/25 12:14:23","sis01","2008/04/25 12:14:23"
"BARA_TANKA_ZEIKOMI","バラ_単価_税込","","","9","6","2","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"BARA_TANKA_ZEINUKI","バラ_単価_税抜","","","9","6","2","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"BATCH_BIKOU","バッチ_備考","","","N","50","0","","","","fsol10","2008/07/14 21:38:03","fsol10","2008/07/14 21:38:33"
"BATCH_SETTEI_BI","バッチ_設定_日","","","X","8","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"BATCH_UPDATE_DT_REBATE","バッチ_更新_日時_リベート","DATETIME17","日時17","X","17","0","","","","lpa03","2008/12/05 13:56:03","wt02","2009/10/30 09:49:49"
"BATCH_UPDATE_DT_SOUHU","バッチ_更新_日時_送付","DATETIME17","日時17","X","17","0","","","","lpa03","2008/12/05 13:55:20","wt02","2009/10/30 09:50:08"
"BETTO_BUHINDAI","別途_部品代","","","9","8","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"BETTO_KAGI_HIKITORI_RYOUKIN","別途_カギ_引取_料金","","","9","8","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"BETTO_KBN","別途_区分","","","X","1","0","","","","fsol05","2009/08/25 18:13:19","fsol05","2009/08/25 18:13:19"
"BETTO_KYUZITU_KASAN_RYOUKIN","別途_休日_加算_料金","","","9","8","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"BETTO_SAGYOU_RYOUKIN","別途_作業_料金","","","9","8","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"BETTO_SETTI_KINGAKU","別途_設置_金額","","","9","8","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"BETTO_SIHA_BUHINDAI","別途_支払_部品代","","","9","8","0","","","","fsol05","2010/01/28 17:11:26","fsol05","2010/01/28 17:11:26"
"BETTO_SYUTTYOU_RYOUKIN","別途_出張_料金","","","9","8","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"BETTO_TC_SAGYOU_KAISYA_CD","別途_ＴＣ_作業_会社_コード","","","X","5","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"BETTO_TC_SAGYOU_TANTOU_CD","別途_ＴＣ_作業_担当_コード","","","X","7","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"BETTO_TC_SIHA_HAKKOU_KBN","別途_ＴＣ_支払_発行_区分","","","X","1","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"BETTO_TUIKA_SAGYOU_RYOUKIN","別途_追加_作業_料金","","","9","8","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"BIHIN_KEISIKI","備品_形式","","","N","80","0","","","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"BIHIN_SURYOU","備品_数量","","","9","4","0","","","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"BIKOU","備考","","","N","100","0","","","","sis01","2008/04/25 12:14:28","wt03","2008/08/08 09:55:28"
"BIKOU_HISSU_KBN","備考_必須_区分","","","X","1","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"BIKOU_SYUKAN_BUSYO_CD","備考_主管_部署_コード","","","X","5","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"BIRTHDAY","生年月日","YYYYMMDD","年月日8","X","8","0","","","","fsol10","2008/07/15 13:43:53","wt02","2009/10/30 09:51:03"
"BOKIN_KINGAKU_GOUKEI","募金_金額_合計","KINGAKU12","金額12","9","12","0","","","","base01","2008/11/10 17:40:31","wt02","2009/10/30 09:51:38"
"BOKIN_KINGAKU_OROSI","募金_金額_卸","KINGAKU8","金額8","9","8","0","","","","sis02","2008/06/30 18:27:05","wt02","2009/10/30 09:52:03"
"BOKIN_KINGAKU_TOK","募金_金額_得意先","KINGAKU8","金額8","9","8","0","","","","sis02","2008/06/30 18:27:56","wt02","2009/10/30 09:52:21"
"BOKIN_KINGAKU_ZISYA","募金_金額_自社","KINGAKU8","金額8","9","8","0","","","","sis02","2008/06/30 18:25:05","wt02","2009/10/30 09:52:59"
"BOKIN_SINSEI_NO","募金_申請_番号","","","X","16","0","","","","base08","2008/12/05 14:56:36","base08","2008/12/05 14:56:36"
"BOKIN_SINSEI_STS","募金_申請_状態","","","X","1","0","","","","base08","2008/12/05 14:56:54","base08","2008/12/05 14:56:54"
"BOKIN_UMU_KBN","募金_有無_区分","","","X","1","0","","","","lpa02","2008/07/10 17:45:19","lpa02","2008/07/10 17:45:19"
"BOKIN_UMU_KBN_NM","募金_有無_区分_名称","","","N","4","0","","","","lpa02","2008/07/10 17:45:54","lpa00","2008/07/11 14:02:00"
"BRAND_CD","ブランド_コード","","","X","5","0","","","","sis01","2008/04/25 12:14:23","sis01","2008/04/25 12:14:23"
"BTNADD","ボタン新規","","","F","0","0","","","マスメン自動生成専用","fsol00","2009/11/13 09:17:05","fsol00","2009/11/13 09:17:05"
"BTNBACK","ボタン戻る","","","F","0","0","","","マスメン自動生成専用","fsol00","2009/11/13 09:18:13","fsol00","2009/11/13 09:18:13"
"BTNDEF","ボタン確定","","","F","0","0","","","マスメン自動生成専用","fsol00","2009/11/13 09:17:52","fsol00","2009/11/13 09:17:52"
"BTNDEL","ボタン削除","","","F","0","0","","","マスメン自動生成専用","fsol00","2009/11/13 09:17:33","fsol00","2009/11/13 09:17:33"
"BTNINSERT","ボタン挿入","","","F","0","0","","","マスメン自動生成専用","fsol00","2009/11/13 09:19:33","fsol00","2009/11/13 09:19:33"
"BTNREF","ボタン参照","","","F","0","0","","","マスメン自動生成専用","fsol00","2009/11/13 09:19:19","fsol00","2009/11/13 09:19:19"
"BTNUPD","ボタン更新","","","F","0","0","","","マスメン自動生成専用","fsol00","2009/11/13 09:19:07","fsol00","2009/11/13 09:20:13"
"BUHIN_CD","部品_コード","","","X","14","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"BUHIN_MAKER_CD","部品_メーカー_コード","","","X","2","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"BUHIN_MAKER_NM","部品_メーカー_名称","","","N","40","0","","","","fsol05","2009/04/13 15:15:00","fsol05","2009/04/13 22:01:42"
"BUHIN_NM","部品_名称","","","N","80","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"BUHIN_SYURUI_CD","部品_種類_コード","","","X","2","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"BUHIN_SYURUI_NM","部品_種類_名称","","","N","20","0","","","","fsol05","2009/04/13 21:31:36","fsol05","2009/04/13 22:01:29"
"BUHINDAI","部品代","","","9","8","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"BUHINDAI_TESURYOU","部品代_手数料","","","9","8","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"BUNKATU_KENSU","分割_件数","","","9","6","0","","","","base08","2008/12/08 10:17:13","base08","2008/12/08 10:17:13"
"BUSYO","部署","","","N","27","0","","","","lpa01","2008/06/10 18:22:50","lpa01","2008/06/10 18:22:50"
"BUSYO_1_KETA","部署_１_桁数","","","X","1","0","","","","base09","2008/12/05 14:34:53","base09","2008/12/05 14:34:53"
"BUSYO_CD","部署_コード","BUSYO_CD","部署コード","X","5","0","","","","Administrator","2008/04/17 08:42:57","wt02","2009/10/30 09:54:45"
"BUSYO_GRP_CD","部署_グループ_コード","BUSYO_GRP_CD","部署グループコード","X","5","0","","","","fsol10","2008/04/22 23:17:58","wt02","2009/10/30 09:55:18"
"BUSYO_GRP_CD_1","部署_グループ_コード_１","BUSYO_GRP_CD","部署グループコード","X","5","0","","","","lpa01","2008/12/15 13:51:07","wt02","2009/10/30 09:55:42"
"BUSYO_GRP_CD_2","部署_グループ_コード_２","BUSYO_GRP_CD","部署グループコード","X","5","0","","","","lpa01","2008/12/15 13:51:22","wt02","2009/10/30 09:55:42"
"BUSYO_GRP_NM_RYAKU","部署_グループ_名称_略","","","N","20","0","","","","fsol10","2008/08/18 20:36:01","fsol10","2009/01/09 14:22:30"
"BUSYO_IN_KANOU_KBN","部署_入力_可能_区分","","","X","1","0","","","","fsol10","2011/01/11 09:28:24","fsol10","2011/01/11 09:28:24"
"BUSYO_KBN","部署_区分","","","X","2","0","","","","fsol10","2008/04/22 23:13:05","fsol10","2008/07/16 15:38:36"
"BUSYO_NM","部署_名称","","","N","60","0","","","","Administrator","2008/04/17 08:50:36","fsol09","2008/04/25 13:58:56"
"BUSYO_NM_RYAKU","部署_名称_略","","","N","20","0","","","","sis05","2008/07/01 10:01:37","fsol07","2009/01/09 18:27:33"
"BUSYO_NM_RYAKU_HAISI","部署_名称_略_廃止","","","N","20","0","","","","fsol10","2008/04/23 11:50:59","fsol07","2009/01/09 18:26:49"
"BUSYO_OUT_NO","部署_出力_番号","","","X","7","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"BUSYO_SEARCH","部署_検索","","","X","1","0","","","","fsol05","2008/06/24 14:46:24","fsol05","2008/06/24 14:46:24"
"BUSYO_SITEI_KBN","部署_指定_区分","","","X","1","0","","","","fsol05","2009/04/13 14:58:26","fsol05","2009/04/13 14:58:26"
"BUSYO_SU","部署_数","","","9","2","0","","","","fsol05","2010/10/07 19:23:41","fsol05","2010/10/07 19:23:41"
"BUSYO_TAB_SEIGYO_INFO","部署_タブ_制御_情報","","","N","40","0","","","","fsol14","2008/12/24 16:35:45","fsol14","2009/01/26 18:28:38"
"BUSYO_TEL_NO","部署_電話_番号","","","X","20","0","","","","base08","2008/12/05 21:12:02","base08","2008/12/05 21:12:02"
"BUTTON","ボタン","","","9","3","0","","","","fsol05","2009/03/19 15:26:16","fsol05","2009/03/19 15:26:16"
"BUZAI","部材","","","9","8","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"BUZAI_TESURYOU","部材_手数料","","","9","8","0","","","","fsol05","2009/03/19 15:26:18","fsol05","2009/03/19 15:26:18"
"CALC","計算","","","F","0","0","","","","fsol05","2009/04/14 09:59:48","fsol05","2009/04/14 09:59:48"
"CALC_KIN10","計算_金額10","","","9","10","0","","","","fsol07","2011/01/18 22:13:17","fsol07","2011/02/23 20:23:32"
"CALC_ZYOUKEN_KBN","計算_条件_区分","","","X","1","0","","","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"CALC_ZYOUKEN_SENTAKU_KBN","計算_条件_選択_区分","","","X","1","0","","","0:納入実績 1:販売実績 ' ':全て選択可 NULL:設定不可","fsol07","2011/02/24 19:44:21","fsol07","2011/02/24 19:44:21"
"CALENDAR_CNTL","カレンダ_コントロール","","","N","4","0","","","カレンダメンテナンス系拡張コントロール用
","fsol09","2008/10/27 10:14:26","fsol09","2008/10/27 10:14:26"
"CALORY_1_HON","カロリー_１_本","","","9","8","2","","","","sis01","2008/04/25 12:14:22","sis01","2008/04/25 12:14:22"
"CALORY_100_GATARI","カロリー_１００_ｇ当り","","","9","8","2","","","","sis01","2008/04/25 12:14:22","sis01","2008/04/25 12:14:22"
"CARD_HANBAI_KIN12","カード_販売_金額12","","","9","12","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"CARD_HANBAI_KINGAKU","カード_販売_金額","KINGAKU8","金額8","9","8","0","","","","sis01","2008/04/25 12:14:22","wt02","2009/10/30 09:57:50"
"CARD_HANBAI_SURYOU","カード_販売_数量","","","9","6","0","","","","sis01","2008/04/25 12:14:22","sis01","2008/04/25 12:14:22"
"CARD_HANBAI_TANKA","カード_販売_単価","TANKA","単価","9","8","2","","","","sis01","2008/04/25 12:14:22","fsol07","2009/12/11 16:47:51"
"CARD_HENKIN_KBN","カード_返金_区分","","","X","1","0","","","","fsol10","2010/12/09 19:17:29","fsol10","2010/12/09 19:17:29"
"CARD_HENKIN_KIN12","カード_返金_金額12","","","9","12","0","","","","fsol12","2011/01/25 20:56:48","fsol12","2011/01/25 20:56:48"
"CARD_HENKIN_KIN12_GOUKEI","カード_返金_金額12_合計","","","9","12","0","","","","fsol12","2011/01/25 21:08:19","fsol12","2011/01/25 21:08:19"
"CARD_HENPIN_HONSU","カード_返品_本数","","","9","9","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"CARD_HENPIN_KIN12","カード_返品_金額12","","","9","12","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"CARD_NOUHIN_HONSU","カード_納品_本数","","","9","9","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"CARD_NOUHIN_KIN12","カード_納品_金額12","","","9","12","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"CARD_SEIKYU_KIN12","カード_請求_金額12","","","9","12","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"CARD_SEIKYU_KINGAKU","カード_請求_金額","KINGAKU8","金額8","9","8","0","","","","sis01","2008/04/25 12:14:22","wt02","2009/10/30 09:59:05"
"CARD_SEIKYU_SAKI_CD","カード_請求_先_コード","SEKYU_SIHA_CD","請求先支払先コード","X","8","0","","","","lpa01","2008/05/30 17:36:59","wt02","2009/10/30 10:00:37"
"CARD_SEIKYU_SAKI_NM","カード_請求_先_名称","","","N","40","0","","","","fsol05","2009/03/19 15:26:15","fsol05","2009/03/19 15:26:15"
"CARD_SEIKYU_TANKA","カード_請求_単価","TANKA","単価","9","8","2","","","","sis01","2008/04/25 12:14:22","wt02","2009/10/30 10:01:08"
"CARD_TANKA_HENKOU_KBN","カード_単価_変更_区分","","","X","1","0","","","","sis01","2008/04/25 12:14:22","sis01","2008/04/25 12:14:22"
"CARD_TAX","カード_消費税","","","9","12","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"CARD_TAX_KINGAKU","カード_消費税_金額","KINGAKU8","金額8","9","8","0","","","","sis01","2008/04/25 12:14:22","wt02","2009/10/30 10:02:11"
"CARD_URI_KIN12","カード_売上_金額12","","","9","12","0","","","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"CARD_URI_KINGAKU","カード_売上_金額","KINGAKU8","金額8","9","8","0","","","","sis01","2008/05/07 10:07:05","wt02","2009/10/30 10:02:11"
"CATEGORY_BETU","カテゴリー_別","","","X","30","0","","","","sis01","2008/04/25 12:14:22","sis01","2008/04/25 12:14:22"
"CATEGORY_ITEM_NO","カテゴリー_アイテム_番号","","","9","10","0","","","","sis01","2008/04/25 12:14:22","sis01","2008/04/25 12:14:22"
"CD_SEARCH_TUIKA_ZYOUKEN","コード_検索_追加_条件","","","N","500","0","","","","fsol10","2011/03/02 10:07:29","fsol10","2011/03/02 10:08:20"
"CD_SOUHU_BI","コード_送付_日","","","D","0","0","","","","lpa01","2008/09/12 13:52:02","lpa01","2008/09/12 13:52:02"
"CF_ID","ＣＦ_ＩＤ","","","X","4","0","","","","sis01","2008/04/25 12:14:22","sis01","2008/04/25 12:14:22"
"CHAIN_CD","チェーン_コード","","","X","10","0","","","","fsol07","2011/01/18 22:13:18","fsol07","2011/01/18 22:13:18"
"CHAIN_KBN","チェーン_区分","","","X","1","0","","","","fsol07","2011/01/18 22:13:18","fsol07","2011/01/18 22:13:18"
"CHAIN_KBN_NM","チェーン_区分_名称","","","N","6","0","","","","fsol12","2011/03/10 10:20:30","fsol12","2011/03/10 10:22:36"
"CHAIN_NM","チェーン_名称","","","N","80","0","","","","fsol07","2011/01/18 22:13:18","fsol07","2011/01/18 22:13:18"
