エンティティ物理名,エンティティ論理名,インデックス物理名,インデックス論理名,インデックスタイプID,エンティティ項目物理名,エンティティ項目論理名,項目順序,登録担当者,登録日付,更新担当者,更新時間
"ZM_BAT_CONTROL","バッチコントロールマスタ","XPK1ZM_BAT_CONTROL","XPK1バッチコントロールマスタ","PK","KBN_2","区分_２","3","fsol10","2008/07/15 10:25:11","fsol10","2009/01/22 18:30:38"
"ZM_BUSYO","部署マスタ","IX_ZM_BUSYO01","IX_ZM_BUSYO01","IE","BUSYO_GRP_CD","部署_グループ_コード","1","fsol05","2009/06/12 16:30:11","fsol05","2009/06/12 16:30:11"
"ZM_BUSYO","部署マスタ","XPKZM_BUSYO2","XPK部署マスタ２","PK","BUSYO_CD","部署_コード","1","fsol10","2008/06/17 18:10:39","fsol10","2009/04/10 10:11:13"
"ZM_BUSYO_FTR","部署マスタ_未来","XPKZM_BUSYO_FTR","XPK部署マスタ_未来","PK","BUSYO_CD","部署_コード","1","fsol10","2008/07/16 15:51:38","fsol10","2009/04/10 10:11:37"
"ZM_BUSYO_PST","部署マスタ_過去","XPKZM_BUSYO_PST","XPK部署マスタ_過去","PK","BUSYO_CD","部署_コード","1","fsol10","2008/07/16 15:52:33","fsol10","2009/04/10 10:22:35"
"ZM_BUSYO_PST","部署マスタ_過去","XPKZM_BUSYO_PST","XPK部署マスタ_過去","PK","TEKIYOU_START_BI","適用_開始_日","2","fsol10","2008/07/16 15:52:33","fsol10","2009/04/10 10:22:35"
"ZM_CALENDAR","カレンダマスタ","XPK1ZM_CALENDAR","XPK1カレンダマスタ","PK","KAISYA_CD","会社_コード","1","fsol10","2008/07/15 10:04:32","fsol14","2009/12/10 16:13:21"
"ZM_CALENDAR","カレンダマスタ","XPK1ZM_CALENDAR","XPK1カレンダマスタ","PK","YMD","年月日","2","fsol10","2008/07/15 10:04:32","fsol14","2009/12/10 16:13:21"
"ZM_DAIKOU","代行マスタ","XPKZM_DAIKOU","XPK代行マスタ","PK","SYAIN_CD","社員_コード","1","fsol10","2008/07/16 10:02:04","fsol10","2008/07/16 10:02:04"
"ZM_DAIKOU","代行マスタ","XPKZM_DAIKOU","XPK代行マスタ","PK","KAISYA_CD","会社_コード","2","fsol10","2008/07/16 10:02:04","fsol10","2008/07/16 10:02:04"
"ZM_DAIKOU","代行マスタ","XPKZM_DAIKOU","XPK代行マスタ","PK","BUSYO_CD","部署_コード","3","fsol10","2008/07/16 10:02:04","fsol10","2008/07/16 10:02:04"
"ZM_DAIKOU","代行マスタ","XPKZM_DAIKOU","XPK代行マスタ","PK","YAKU_CD","役職_コード","4","fsol10","2008/07/16 10:02:04","fsol10","2008/07/16 10:02:04"
"ZM_DAIKOU","代行マスタ","XPKZM_DAIKOU","XPK代行マスタ","PK","DAIKOU_SYA_SYAIN_CD","代行_者_社員_コード","5","fsol10","2008/07/16 10:02:04","fsol10","2008/07/16 10:02:04"
"ZM_FO_SIHA","フルオペ支払先マスタ","PK_ZM_FO_SIHA","PKフルオペ支払先マスタ","PK","SIHA_SAKI_CD","支払_先_コード","1","lpa00","2008/07/15 10:37:09","fsol14","2009/12/10 16:14:03"
"ZM_FO_SIHA","フルオペ支払先マスタ","IX_ZM_FO_SIHA01","IXフルオペ支払先マスタ01","IE","SYUKAN_BUSYO_CD","主管_部署_コード","1","fsol07","2009/06/05 00:01:20","fsol07","2009/06/05 00:01:20"
"ZM_FO_SIHA","フルオペ支払先マスタ","IX_ZM_FO_SIHA02","IXフルオペ支払先マスタ02","IE","KOUZA_NO","口座_番号","1","fsol07","2009/06/05 00:02:12","fsol07","2009/06/05 00:02:12"
"ZM_FO_SIHA_PST","フルオペ支払先マスタ_過去","PK_ZM_FO_SIHA_PST","PKフルオペ支払先マスタ_過去","PK","SIHA_SAKI_CD","支払_先_コード","1","lpa02","2008/07/16 18:16:47","fsol14","2009/12/10 16:14:19"
"ZM_FO_SIHA_PST","フルオペ支払先マスタ_過去","PK_ZM_FO_SIHA_PST","PKフルオペ支払先マスタ_過去","PK","TEKIYOU_START_BI","適用_開始_日","2","lpa02","2008/07/16 18:16:47","fsol14","2009/12/10 16:14:19"
"ZM_GENERAL_CONTROL","汎用コントロールマスタ","XPKZM_GENREAL_CONTROL","XPK汎用コントロールマスタ","PK","SIKIBETU_CD","識別_コード","1","fsol09","2008/06/10 08:59:03","fsol10","2009/02/02 19:56:47"
"ZM_GENERAL_CONTROL","汎用コントロールマスタ","XPKZM_GENREAL_CONTROL","XPK汎用コントロールマスタ","PK","GENERAL_KBN_CD","汎用_区分_コード","2","fsol09","2008/06/10 08:58:34","fsol10","2009/02/02 19:56:47"
"ZM_GENERAL_CSV","汎用CSVマスタ","XPKZM_GENERALCSV","XPK汎用CSVマスタ","PK","OUT_SORT","出力_順番","1","fsol05","2008/07/03 16:02:50","wt01","2009/03/03 10:31:03"
"ZM_GENERAL_CSV_BUSYO","汎用CSV部署マスタ","XPKZM_GENERALCSVBUSYO","XPK汎用CSV部署マスタ","PK","OUT_SORT","出力_順番","1","fsol05","2008/07/03 16:04:29","wt03","2008/08/08 15:25:58"
"ZM_GENERAL_CSV_BUSYO","汎用CSV部署マスタ","XPKZM_GENERALCSVBUSYO","XPK汎用CSV部署マスタ","PK","BUSYO_CD","部署_コード","2","fsol05","2008/07/03 16:04:29","wt03","2008/08/08 15:25:58"
"ZM_GINKOU","銀行マスタ","IX_ZM_GINKOU01","銀行コード","IE","GINKOU_CD","銀行_コード","1","fsol09","2009/03/31 19:19:54","fsol09","2009/03/31 19:19:54"
"ZM_GINKOU_GRP","銀行グループマスタ","XPKZM_GINKOU_GRP_CD","XPK銀行グループマスタ","PK","GINKOU_GRP_CD","銀行_グループ_コード","1","fsol09","2008/05/08 16:07:41","fsol10","2009/01/22 13:49:45"
"ZM_GINKOU_GRP","銀行グループマスタ","XPKZM_GINKOU_GRP_CD","XPK銀行グループマスタ","PK","GINKOU_CD","銀行_コード","2","fsol09","2008/05/08 16:07:41","fsol10","2009/01/22 13:49:45"
"ZM_GINKOU_HOL_CALENDAR","銀行休日カレンダマスタ","PK_ZM_GINKOU_HOL_CALENDAR","PK銀行休日カレンダマスタ","PK","YMD","年月日","1","fsol07","2011/02/01 09:49:48","fsol07","2011/02/01 09:49:48"
"ZM_GINKOU_HURIWAKE","銀行振分マスタ","XPKZM_GINKOU_HURIWAKE","XPK銀行振分マスタ","PK","KAISYA_CD","会社_コード","1","fsol10","2008/08/18 19:30:06","base03","2009/07/16 17:34:03"
"ZM_GINKOU_HURIWAKE","銀行振分マスタ","XPKZM_GINKOU_HURIWAKE","XPK銀行振分マスタ","PK","SYUBETU","種別","2","base08","2008/12/08 10:22:32","base03","2009/07/16 17:34:03"
"ZM_GINKOU_HURIWAKE","銀行振分マスタ","XPKZM_GINKOU_HURIWAKE","XPK銀行振分マスタ","PK","SIHA_BI","支払_日","3","base00","2009/01/20 14:27:38","base03","2009/07/16 17:34:03"
"ZM_GINKOU_HURIWAKE","銀行振分マスタ","XPKZM_GINKOU_HURIWAKE","XPK銀行振分マスタ","PK","YUSEN_NO","優先_番号","4","base08","2008/12/08 10:22:32","base03","2009/07/16 17:34:03"
"ZM_GINKOU_SITEN","銀行支店マスタ","XPKZM_GINKOU_SITEN","XPK銀行支店マスタ","PK","GINKOU_CD","銀行_コード","1","fsol09","2008/05/09 15:06:42","fsol14","2009/12/10 16:14:48"
"ZM_GINKOU_SITEN","銀行支店マスタ","XPKZM_GINKOU_SITEN","XPK銀行支店マスタ","PK","GINKOU_SITEN_CD","銀行_支店_コード","2","fsol09","2008/05/09 15:06:42","fsol14","2009/12/10 16:14:48"
"ZM_INFO_TANTOU","通知先担当者マスタ","XPKZM_INFO_TANTO","XPK通知先担当者マスタ","PK","TUTI_MOTO_BUSYO_CD","通知_元_部署_コード","1","wt03","2008/08/08 16:31:25","wt04","2009/03/23 10:29:06"
"ZM_INFO_TANTOU","通知先担当者マスタ","XPKZM_INFO_TANTO","XPK通知先担当者マスタ","PK","TUTI_SAKI_TANTOU_SYA_CD","通知_先_担当_者_コード","2","wt03","2008/08/08 16:31:25","wt04","2009/03/23 10:29:06"
"ZM_KEIYAKU_KBN","契約区分マスタ","XPKZM_KEIYAKU_KBN","XPK契約区分マスタ","PK","KEIYAKU_KBN_CD","契約_区分_コード","1","fsol07","2008/06/03 14:03:24","lpa02","2009/01/21 11:19:37"
"ZM_KEIYAKU_SOUHU_KBN","契約送付区分マスタ","XPKZM_KEIYAKU_SOUHU_KBN","XPK契約送付区分マスタ","PK","KEIYAKU_SOUHU_KBN","契約_送付_区分","1","fsol07","2008/09/08 20:23:30","fsol07","2008/09/08 20:23:30"
"ZM_KENMU","兼務マスタ","XPKZM_KENMU","XPK兼務マスタ","PK","KENMU_SYAIN_CD","兼務_社員_コード","1","fsol10","2008/07/15 10:42:44","fsol10","2009/01/22 15:06:33"
"ZM_KENMU","兼務マスタ","XPKZM_KENMU","XPK兼務マスタ","PK","TEKIYOU_START_BI","適用_開始_日","2","fsol09","2008/06/19 15:01:25","fsol10","2009/01/22 15:06:33"
"ZM_KENMU","兼務マスタ","XPKZM_KENMU","XPK兼務マスタ","PK","KENMU_SAKI_KAISYA_CD","兼務_先_会社_コード","3","fsol09","2008/06/19 15:01:26","fsol10","2009/01/22 15:06:33"
"ZM_KENMU","兼務マスタ","XPKZM_KENMU","XPK兼務マスタ","PK","KENMU_SAKI_BUSYO_CD","兼務_先_部署_コード","4","fsol09","2008/06/19 15:01:26","fsol10","2009/01/22 15:06:33"
"ZM_KENMU","兼務マスタ","XPKZM_KENMU","XPK兼務マスタ","PK","KENMU_SAKI_YAKU_CD","兼務_先_役職_コード","5","fsol09","2008/06/19 15:01:26","fsol10","2009/01/22 15:06:33"
"ZM_KOUIKI_KIGYOU","広域企業マスタ","XPKZM_KOUIKIKIGYOU","XPK広域企業マスタ","PK","KOUIKI_KIGYOU_CD","広域_企業_コード","1","lpa00","2008/05/08 10:34:43","lpa01","2008/10/23 10:02:44"
"ZM_KOUIKI_KIGYOU_BIKO","広域企業備考マスタ","XPKZM_KOUIKIKIGYOU_BIKO","XPK広域企業備考マスタ","PK","KOUIKI_KIGYOU_KINOU_CD_1","広域_企業_機能_コード_１","1","lpa01","2008/06/30 11:31:33","lpa03","2008/10/01 15:12:35"
"ZM_KOUIKI_KIGYOU_BIKO","広域企業備考マスタ","XPKZM_KOUIKIKIGYOU_BIKO","XPK広域企業備考マスタ","PK","KOUIKI_KIGYOU_KINOU_CD_2","広域_企業_機能_コード_２","2","lpa01","2008/06/30 11:31:33","lpa03","2008/10/01 15:12:35"
"ZM_KOUIKI_KIGYOU_BIKO","広域企業備考マスタ","XPKZM_KOUIKIKIGYOU_BIKO","XPK広域企業備考マスタ","PK","KOUIKI_KIGYOU_KINOU_BUNRUI_KBN","広域_企業_機能_分類_区分","3","lpa01","2008/06/30 11:31:33","lpa03","2008/10/01 15:12:35"
"ZM_KOUIKI_KIGYOU_BIKO","広域企業備考マスタ","XPKZM_KOUIKIKIGYOU_BIKO","XPK広域企業備考マスタ","PK","KOUIKI_KIGYOU_BIKOU_KBN","広域_企業_備考_区分","4","lpa01","2008/06/30 11:31:33","lpa03","2008/10/01 15:12:35"
"ZM_KOUIKI_KIGYOU_BIKO","広域企業備考マスタ","XPKZM_KOUIKIKIGYOU_BIKO","XPK広域企業備考マスタ","PK","KOUIKI_KIGYOU_MEI_NO","広域_企業_明細_番号","5","lpa01","2008/06/30 11:31:33","lpa03","2008/10/01 15:12:35"
"ZM_KOUIKI_KIGYOU_GRP","広域企業グループマスタ","XPKZM_KOUIKIKIGYOU_GRP","XPK広域企業グループマスタ","PK","KOUIKI_KIGYOU_GRP_CD","広域_企業_グループ_コード","1","lpa00","2008/05/08 10:00:05","lpa03","2008/10/01 15:10:24"
"ZM_KOUIKI_KIGYOU_SUB_GRP","広域企業サブグループマスタ","XPKZM_KOUIKIKIGYOU_SUB_GRP","XPK広域企業サブグループマスタ","PK","KOUIKI_KIGYOU_GRP_CD","広域_企業_グループ_コード","1","lpa00","2008/05/08 10:15:25","lpa03","2008/10/01 15:11:00"
"ZM_KOUIKI_KIGYOU_SUB_GRP","広域企業サブグループマスタ","XPKZM_KOUIKIKIGYOU_SUB_GRP","XPK広域企業サブグループマスタ","PK","KOUIKI_KIGYOU_SUB_GRP_CD","広域_企業_サブ_グループ_コード","2","lpa00","2008/05/08 10:15:25","lpa03","2008/10/01 15:11:00"
"ZM_LOCATION","ロケーションマスタ","PK_ZM_LOCATION","PKロケーションマスタ","PK","LOCATION_CD","ロケーション_コード","1","lpa01","2008/05/30 17:47:22","fsol12","2011/01/31 18:57:14"
"ZM_LOCATION","ロケーションマスタ","IX_ZM_LOCATION01","IXロケーションマスタ01","IE","TOK_CD","得意先_コード","1","fsol07","2009/06/04 23:20:01","fsol07","2009/06/04 23:20:01"
"ZM_LOCATION","ロケーションマスタ","IX_ZM_LOCATION02","IXロケーションマスタ02","IE","KOUIKI_KIGYOU_CD","広域_企業_コード","1","fsol07","2009/06/04 23:20:57","fsol07","2009/06/04 23:20:57"
"ZM_LOCATION","ロケーションマスタ","IX_ZM_LOCATION03","IXロケーションマスタ03","IE","SOUKATU_SEIKYU_SAKI_CD","総括_請求_先_コード","1","fsol07","2009/06/04 23:50:31","fsol07","2009/06/04 23:50:31"
"ZM_LOCATION_PST","ロケーションマスタ_過去","PK_ZM_LOCATION_PST","PKロケーションマスタ_過去","PK","LOCATION_CD","ロケーション_コード","1","lpa01","2008/08/18 18:08:28","fsol14","2009/12/10 16:16:48"
"ZM_LOCATION_PST","ロケーションマスタ_過去","PK_ZM_LOCATION_PST","PKロケーションマスタ_過去","PK","TEKIYOU_START_BI","適用_開始_日","2","lpa01","2008/08/18 18:08:28","fsol14","2009/12/10 16:16:48"
"ZM_LOCATION_PST","ロケーションマスタ_過去","IX_ZM_LOCATION_PST01","IXロケーションマスタ_過去01","IE","TOK_CD","得意先_コード","1","fsol07","2009/06/04 23:23:24","fsol07","2009/06/04 23:23:24"
"ZM_LOCATION_PST","ロケーションマスタ_過去","IX_ZM_LOCATION_PST01","IXロケーションマスタ_過去01","IE","TEKIYOU_START_BI","適用_開始_日","2","fsol07","2009/06/04 23:47:47","fsol07","2009/06/04 23:47:47"
"ZM_LOCATION_PST","ロケーションマスタ_過去","IX_ZM_LOCATION_PST01","IXロケーションマスタ_過去01","IE","TEKIYOU_END_BI","適用_終了_日","3","fsol07","2009/06/04 23:47:47","fsol07","2009/06/04 23:47:47"
"ZM_LOCATION_PST","ロケーションマスタ_過去","IX_ZM_LOCATION_PST02","IXロケーションマスタ_過去02","IE","KOUIKI_KIGYOU_CD","広域_企業_コード","1","fsol07","2009/06/04 23:27:15","fsol07","2009/06/04 23:48:32"
"ZM_LOCATION_PST","ロケーションマスタ_過去","IX_ZM_LOCATION_PST02","IXロケーションマスタ_過去02","IE","TEKIYOU_START_BI","適用_開始_日","2","fsol07","2009/06/04 23:48:32","fsol07","2009/06/04 23:48:32"
"ZM_LOCATION_PST","ロケーションマスタ_過去","IX_ZM_LOCATION_PST02","IXロケーションマスタ_過去02","IE","TEKIYOU_END_BI","適用_終了_日","3","fsol07","2009/06/04 23:48:32","fsol07","2009/06/04 23:48:32"
"ZM_LOGIN_PASS","ログインパスワードマスタ","XPKZM_LOGIN_PASS","XPKログインパスワードマスタ","PK","SYAIN_CD","社員_コード","1","fsol10","2008/04/25 14:42:52","fsol14","2009/12/11 17:08:25"
"ZM_LOGIN_PASS","ログインパスワードマスタ","XPKZM_LOGIN_PASS","XPKログインパスワードマスタ","PK","SEDAI_KANRI_KBN","世代_管理_区分","2","fsol09","2008/04/25 21:02:28","fsol14","2009/12/11 17:08:25"
"ZM_MEISYOU","名称マスタ","XPKZM_MEISYOU","XPK名称マスタ","PK","SIKIBETU_CD","識別_コード","1","fsol09","2008/07/15 14:03:27","fsol10","2009/01/22 18:46:31"
"ZM_MEISYOU","名称マスタ","XPKZM_MEISYOU","XPK名称マスタ","PK","KBN_CD","区分_コード","2","fsol10","2008/07/16 15:58:31","fsol10","2009/01/22 18:46:31"
"ZM_OBOEGAKI_BOKIN","覚書(募金自販機)マスタ","XPKZM_OBOEGAKI_BOKIN","XPK覚書（募金自販機）マスタ","PK","OBOEGAKI_NO","覚書_番号","1","lpa01","2008/06/02 09:55:02","lpa00","2008/12/01 16:34:42"
"ZM_OBOEGAKI_YH_TAIOU","覚書様式費目対応マスタ","PK_ZM_OBOEGAKI_YH_TAIOU","PK覚書様式費目対応マスタ","PK","OBOEGAKI_YOUSIKI","覚書_様式","1","fsol07","2011/02/24 18:22:27","fsol07","2011/02/24 18:22:27"
"ZM_OBOEGAKI_YH_TAIOU","覚書様式費目対応マスタ","PK_ZM_OBOEGAKI_YH_TAIOU","PK覚書様式費目対応マスタ","PK","OBOEGAKI_HIMOKU_CD","覚書_費目_コード","2","fsol07","2011/02/24 18:22:27","fsol07","2011/02/24 18:22:27"
"ZM_OROSI_TOK_TAN","卸得意先別価格マスタ","XPKZM_OROSI_TOK_TAN","XPK卸得意先別価格マスタ","PK","TOK_CD","得意先_コード","1","fsol10","2008/07/14 21:58:41","fsol14","2009/12/10 16:17:23"
"ZM_OROSI_TOK_TAN","卸得意先別価格マスタ","XPKZM_OROSI_TOK_TAN","XPK卸得意先別価格マスタ","PK","SHN_CD","商品_コード","2","fsol10","2008/07/14 21:58:42","fsol14","2009/12/10 16:17:23"
"ZM_OROSI_TOK_TAN","卸得意先別価格マスタ","XPKZM_OROSI_TOK_TAN","XPK卸得意先別価格マスタ","PK","TEKIYOU_START_BI","適用_開始_日","3","fsol10","2008/07/14 21:58:42","fsol14","2009/12/10 16:17:23"
"ZM_OROSI_TOK_TAN","卸得意先別価格マスタ","XPKZM_OROSI_TOK_TAN","XPK卸得意先別価格マスタ","PK","TEKIYOU_START_BI_RENBAN","適用_開始_日_連番","4","fsol10","2008/07/14 21:58:42","fsol14","2009/12/10 16:17:23"
"ZM_POST_NO","郵便番号マスタ","XPKZM_POST_NO","XPK郵便番号マスタ","PK","POST_NO","郵便_番号","1","fsol04","2008/08/14 10:59:23","fsol14","2009/12/10 16:17:41"
"ZM_POST_NO","郵便番号マスタ","XPKZM_POST_NO","XPK郵便番号マスタ","PK","TIKU_CD","地区_コード","2","fsol09","2009/05/12 20:29:58","fsol14","2009/12/10 16:17:41"
"ZM_REBATE_SIHA_ZKN","リベート支払条件マスタ","PK_ZM_REBATE_SIHA_ZKN","PKリベート支払条件マスタ","PK","LOCATION_CD","ロケーション_コード","1","lpa01","2008/06/02 13:19:45","fsol14","2009/12/10 16:17:59"
"ZM_REBATE_SIHA_ZKN","リベート支払条件マスタ","PK_ZM_REBATE_SIHA_ZKN","PKリベート支払条件マスタ","PK","REBATE_MEI_NO","リベート_明細_番号","2","lpa01","2008/06/02 13:48:05","fsol14","2009/12/10 16:17:59"
"ZM_REBATE_SIHA_ZKN","リベート支払条件マスタ","IX_ZM_REBATE_SIHA_ZKN01","IXリベート支払条件マスタ01","IE","SIHA_SAKI_CD","支払_先_コード","1","fsol07","2009/06/04 23:54:18","fsol07","2009/06/04 23:54:18"
"ZM_REBATE_SIHA_ZKN","リベート支払条件マスタ","IX_ZM_REBATE_SIHA_ZKN02","IXリベート支払条件マスタ02","IE","OBOEGAKI_NO","覚書_番号","1","fsol07","2009/06/04 23:55:58","fsol07","2009/06/04 23:55:58"
"ZM_REBATE_SIHA_ZKN","リベート支払条件マスタ","IX_ZM_REBATE_SIHA_ZKN03","IXリベート支払条件マスタ03","IE","KYOUTEISYO_NO","協定書_番号","1","fsol07","2009/07/21 18:02:41","fsol07","2009/07/21 18:02:41"
"ZM_REBATE_SIHA_ZKN_PST","リベート支払条件マスタ_過去","PK_ZM_REBATE_SIHA_ZKN_PST","PKリベート支払条件マスタ_過去","PK","LOCATION_CD","ロケーション_コード","1","lpa02","2008/07/15 13:17:04","fsol14","2009/12/10 16:18:11"
"ZM_REBATE_SIHA_ZKN_PST","リベート支払条件マスタ_過去","PK_ZM_REBATE_SIHA_ZKN_PST","PKリベート支払条件マスタ_過去","PK","REBATE_MEI_NO","リベート_明細_番号","2","lpa02","2008/07/15 13:17:04","fsol14","2009/12/10 16:18:11"
"ZM_REBATE_SIHA_ZKN_PST","リベート支払条件マスタ_過去","PK_ZM_REBATE_SIHA_ZKN_PST","PKリベート支払条件マスタ_過去","PK","TEKIYOU_START_BI","適用_開始_日","3","lpa02","2008/07/15 13:17:04","fsol14","2009/12/10 16:18:11"
"ZM_REBATE_SIHA_ZKN_PST","リベート支払条件マスタ_過去","IX_ZM_REBATE_SIHA_ZKN_PST01","IXリベート支払条件マスタ_過去01","IE","SIHA_SAKI_CD","支払_先_コード","1","fsol07","2009/06/04 23:58:08","fsol07","2009/06/04 23:58:08"
"ZM_REBATE_SIHA_ZKN_PST","リベート支払条件マスタ_過去","IX_ZM_REBATE_SIHA_ZKN_PST01","IXリベート支払条件マスタ_過去01","IE","TEKIYOU_START_BI","適用_開始_日","2","fsol07","2009/06/04 23:58:08","fsol07","2009/06/04 23:58:08"
"ZM_REBATE_SIHA_ZKN_PST","リベート支払条件マスタ_過去","IX_ZM_REBATE_SIHA_ZKN_PST01","IXリベート支払条件マスタ_過去01","IE","TEKIYOU_END_BI","適用_終了_日","3","fsol07","2009/06/04 23:58:08","fsol07","2009/06/04 23:58:08"
"ZM_REBATE_SIHA_ZKN_PST","リベート支払条件マスタ_過去","IX_ZM_REBATE_SIHA_ZKN_PST02","IXリベート支払条件マスタ_過去02","IE","OBOEGAKI_NO","覚書_番号","1","fsol07","2009/06/04 23:59:20","fsol07","2009/06/04 23:59:20"
"ZM_REBATE_SIHA_ZKN_PST","リベート支払条件マスタ_過去","IX_ZM_REBATE_SIHA_ZKN_PST02","IXリベート支払条件マスタ_過去02","IE","TEKIYOU_START_BI","適用_開始_日","2","fsol07","2009/06/04 23:59:20","fsol07","2009/06/04 23:59:20"
"ZM_REBATE_SIHA_ZKN_PST","リベート支払条件マスタ_過去","IX_ZM_REBATE_SIHA_ZKN_PST02","IXリベート支払条件マスタ_過去02","IE","TEKIYOU_END_BI","適用_終了_日","3","fsol07","2009/06/04 23:59:20","fsol07","2009/06/04 23:59:20"
"ZM_SAIBAN","採番マスタ","XPKZM_SAIBAN","XPK採番マスタ","PK","SAIBAN_KBN_1","採番_区分_１","1","fsol10","2008/07/15 11:44:43","wt04","2009/03/23 10:30:16"
"ZM_SAIBAN","採番マスタ","XPKZM_SAIBAN","XPK採番マスタ","PK","SAIBAN_KBN_2","採番_区分_２","2","fsol10","2008/07/15 11:44:43","wt04","2009/03/23 10:30:16"
"ZM_SAIBAN","採番マスタ","XPKZM_SAIBAN","XPK採番マスタ","PK","SAIBAN_NENDO","採番_年度","3","fsol10","2008/07/15 11:44:43","wt04","2009/03/23 10:30:16"
"ZM_SYAIN","社員マスタ","XPK1ZM_SYAIN","XPK1社員マスタ","PK","SYAIN_CD","社員_コード","1","fsol10","2008/07/15 12:00:19","fsol14","2009/12/10 16:19:09"
"ZM_SYAIN_KIHON","社員基本マスタ","XPKZM_SYAIN_KIHON","XPK社員基本マスタ","PK","SYAIN_CD","社員_コード","1","fsol10","2008/07/15 14:18:14","fsol14","2009/12/10 16:19:21"
"ZM_SYAIN_LOG","社員マスタ_ログ","XPKZM_SYAIN_LOG","XPK社員マスタ_ログ","PK","SEQ_NO","順序_番号","1","fsol10","2008/07/15 13:48:08","fsol09","2009/03/24 22:38:59"
"ZM_SYAIN_PST","社員マスタ_過去","XPKZM_SYAIN_PST","XPK社員マスタ_過去","PK","SYAIN_CD","社員_コード","1","fsol10","2008/07/15 13:58:01","fsol14","2009/12/10 16:19:32"
"ZM_SYAIN_PST","社員マスタ_過去","XPKZM_SYAIN_PST","XPK社員マスタ_過去","PK","TEKIYOU_START_BI","適用_開始_日","2","fsol10","2008/07/15 13:58:01","fsol14","2009/12/10 16:19:32"
"ZM_SYORI_KBN_CONTROL","処理区分制御マスタ","XPKZM_SYORI_KBN_CONTROL","XPK処理区分制御マスタ","PK","GAMEN_ID","画面_ＩＤ","1","wt02","2008/11/18 15:39:56","wt04","2009/03/23 10:31:00"
"ZM_SYORI_KBN_CONTROL","処理区分制御マスタ","XPKZM_SYORI_KBN_CONTROL","XPK処理区分制御マスタ","PK","BUSYO_CD","部署_コード","2","wt02","2008/11/18 15:39:56","wt04","2009/03/23 10:31:00"
"ZM_SYOUHIN","商品マスタ","XPKZM_SYOHIN","XPK商品マスタ","PK","SHN_CD","商品_コード","1","fsol10","2008/07/15 18:25:01","fsol14","2009/12/10 16:19:47"
"ZM_SYOUNIN_ROUTE","承認ルートマスタ","XPKZM_SYOUNIN_ROUTE","XPK承認ルートマスタ","PK","KAISYA_CD","会社_コード","1","fsol10","2008/07/15 18:49:04","fsol09","2009/03/23 20:33:22"
