メッセージID,メッセージタイプID,メッセージ,登録担当者,登録日付,更新担当者,更新時間
"S304","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」は必ず入力して下さい。（%IT_REQUIRED%桁以上）","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S305","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%AT_NAME%を入力して下さい。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S306","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%AT_NAME%を入力して下さい。（%AT_BIKO%）","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S307","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」に入力したコード [%VALUE%] は見つかりませんでした。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S308","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」は日付として認識できません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S309","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」は数値として認識できません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S310","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」は整数部%IT_INTEGER%桁以下で入力して下さい。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S311","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_REQUIRED%桁以上で入力してください。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S314","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_MAX_VAL%より小さくなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S315","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_MAX_VAL%以下でなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S316","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_MIN_VAL%より大きくなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S317","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_MIN_VAL%以上でなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S318","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_MIN_VAL%より大きく、%IT_MAX_VAL%より小さくなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S319","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_MIN_VAL%以上、%IT_MAX_VAL%より小さくなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S320","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_MIN_VAL%より大きく、%IT_MAX_VAL%以下でなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S321","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」は%IT_MIN_VAL%以上、%IT_MAX_VAL%以下でなければなりません。","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S322","1","%LST_ROW_IDX%行目の「%IT_CAPTION%」に使用できない文字が含まれています。『%1』","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"S900","1","%1","QuiQpro","2007/01/01 00:00:00","QuiQpro","2007/01/01 00:00:00"
"BW013","4","主管請求先が削除されました。口座番号=%1 主管請求先=%2","fsol09","2011/03/10 13:46:31","fsol09","2011/03/10 13:46:31"
"E284","3","%1行目の「請求先コード」、「得意先コード」のいずれも入力されていません。","fsol09","2011/03/24 15:17:53","fsol09","2011/03/24 15:53:32"
"A990","3","処理区分情報を処理区分マスタより取得することができませんでした。","wt02","2008/11/20 16:12:17","wt02","2008/11/20 16:12:17"
"A991","3","プログラム名が設定されていません。","fsol00","2008/08/15 11:40:38","fsol00","2008/08/15 11:41:19"
"A992","3","排他キーが設定されていません。","fsol00","2008/08/15 11:40:38","fsol00","2008/08/15 11:41:28"
"A993","3","シェルIDが設定されていません。","fsol00","2008/08/15 11:40:38","fsol00","2008/08/15 11:41:37"
"A994","3","採番区分2が設定されていません。","fsol00","2008/08/15 11:40:38","fsol00","2008/08/15 11:41:44"
"A995","3","採番区分1が設定されていません。","fsol00","2008/08/15 11:40:38","fsol00","2008/08/15 11:41:52"
"A996","3","プログラムIDが設定されていません。","fsol00","2008/08/15 11:40:38","fsol00","2008/08/15 11:41:58"
"A997","3","ストアドプロシージャ名が設定されていません。","fsol00","2008/08/15 11:40:38","fsol00","2008/08/15 11:42:04"
"A998","3","設定ファイル内に businessComponentPart セクショングループが存在しないか、または {0} セクションが存在しません。","fsol00","2008/08/15 11:40:38","fsol00","2008/08/15 11:42:12"
"A999","3","アプリケーションサーバーでエラーが発生しました。","fsol00","2008/08/15 11:40:38","fsol00","2008/08/15 11:42:19"
"BE001","3","%1 (%2) 更新対象レコードなし %3","fsol05","2008/09/18 13:21:19","fsol12","2008/12/01 15:31:15"
"BE002","3","%1 (%2) 削除対象レコードなし %3","fsol12","2008/11/28 17:32:42","fsol12","2008/12/01 15:31:21"
"BE003","3","%1 (%2) マスタに存在しません %3","fsol12","2008/11/28 23:50:24","fsol12","2008/12/01 15:31:29"
"BE004","3","%1 (%2) 取得エラー %3","fsol12","2008/11/29 00:02:57","fsol12","2008/12/01 15:31:40"
"BE005","3","%1 異常終了 %2","fsol14","2008/12/25 18:50:47","fsol14","2008/12/25 18:50:47"
"BE006","3","%1 (%2) と %3 (%4) に不整合があります %5 %6","fsol10","2009/02/03 11:13:15","fsol10","2009/02/03 11:51:00"
"BE007","3","ファイルオープンエラー %1","fsol05","2009/04/27 13:36:41","fsol05","2009/04/27 14:28:51"
"BE008","3","ファイル書き込みエラー %1","fsol05","2009/04/27 13:37:37","fsol05","2009/04/27 14:29:24"
"BE009","3","ファイル読み込みエラー %1","fsol05","2009/04/27 13:38:34","fsol05","2009/04/27 14:30:05"
"BE010","3","環境変数取得エラー %1","fsol05","2009/04/27 14:26:47","fsol05","2009/04/27 14:47:56"
"BE011","3","%1 (%2) 登録エラー %3","fsol10","2011/02/07 10:34:26","fsol10","2011/02/07 14:04:51"
"BE012","3","%1 (%2) 更新エラー %3","fsol10","2011/02/07 10:34:26","fsol10","2011/02/07 14:05:36"
"BE013","3","%1 (%2) 更新対象レコード 複数件あり %3","fsol10","2011/02/07 10:34:26","fsol10","2011/02/07 14:16:03"
"BE014","3","%1 (%2) 更新対象レコード 件数不正 %3","fsol10","2011/02/07 10:34:26","fsol10","2011/02/07 14:16:45"
"BE015","3","%1と%2に不整合があります。得意先CD=%3","fsol10","2011/02/07 10:34:26","fsol10","2011/02/07 14:22:03"
"BE016","3","明細に紐付くヘッダが存在しません。伝票NO=%1 明細No=%2","fsol10","2011/02/07 10:34:26","fsol10","2011/02/07 14:28:16"
"BE017","3","商品回収管理と履歴が一致しません。 %1","fsol10","2011/02/07 10:34:26","fsol10","2011/02/07 14:40:34"
"BE018","3","口座管理マスタに空き口座が存在しません。請求先CD=%1 会社CD=%2","fsol10","2011/02/07 10:34:26","fsol10","2011/02/07 14:41:19"
"BE019","3","商品回収管理データの更新対象が100件を超えました。得意先CD=%1 伝票NO=%2","fsol10","2011/02/07 10:34:26","fsol10","2011/02/07 14:42:11"
"BE020","3","%1 (%2) 取得エラー %3 %4","fsol05","2011/02/08 21:35:17","fsol05","2011/02/08 21:35:17"
"BE999","3","%1","fsol12","2008/11/28 17:33:16","fsol12","2008/11/28 17:33:16"
"BI001","2","%1 実行開始 %2","fsol05","2008/09/18 12:13:23","fsol12","2008/12/01 15:35:37"
"BI002","2","%1 正常終了 %2","fsol05","2008/09/18 13:20:39","fsol12","2008/12/01 15:37:07"
"BI003","2","入力件数 = %1 %2","fsol12","2008/11/27 23:21:12","fsol12","2008/12/01 15:31:53"
"BI004","2","出力件数 = %1 %2","fsol12","2008/11/27 23:21:28","fsol12","2008/12/01 15:32:02"
"BI005","2","登録件数 = %1 %2","fsol12","2008/11/27 23:21:41","fsol12","2008/12/01 15:32:08"
"BI006","2","更新件数 = %1 %2","fsol12","2008/11/27 23:21:55","fsol12","2008/12/01 15:32:14"
"BI007","2","削除件数 = %1 %2","fsol12","2008/11/27 23:22:10","fsol12","2008/12/01 15:32:23"
"BI008","2","%1 (%2) 更新対象レコードなし %3","fsol12","2008/11/28 23:55:38","fsol12","2008/12/01 15:32:32"
"BI009","2","%1 (%2) 削除対象レコードなし %3","fsol12","2008/11/28 23:56:05","fsol12","2008/12/01 15:32:38"
"BI010","2","%1 (%2) マスタに存在しません %3","fsol12","2008/11/28 23:56:33","fsol12","2008/12/01 15:32:45"
"BI011","2","%1 (%2) 取得エラー %3","fsol12","2008/11/29 00:03:21","fsol12","2008/12/01 15:32:52"
"BI012","2","会社コード[%1]の更新開始","fsol09","2009/02/19 10:43:14","fsol09","2009/02/19 10:44:49"
"BI013","2","%1 更新前 [%2] 更新後 [%3] ","fsol09","2009/02/19 10:44:30","fsol09","2009/02/19 10:44:30"
"BI014","2","納品無し入金が発生しました。 %1","fsol10","2011/02/07 10:34:26","fsol10","2011/02/07 14:44:01"
"BI999","2","%1","fsol12","2008/11/28 02:31:29","fsol12","2008/11/28 02:31:29"
"BW001","4","%1 (%2) 更新対象レコードなし %3","fsol12","2008/11/28 17:34:19","fsol12","2008/12/01 15:33:01"
"BW002","4","%1 (%2) 削除対象レコードなし %3","fsol12","2008/11/28 17:34:42","fsol12","2008/12/01 15:33:07"
"BW003","4","%1 (%2) マスタに存在しません %3","fsol12","2008/11/28 23:51:53","fsol12","2008/12/01 15:33:14"
"BW004","4","%1 (%2) 取得エラー %3","fsol12","2008/11/29 00:03:43","fsol12","2008/12/01 15:33:21"
"BW005","4","設置工事明細データの設置_手配_区分が請求書区分に変換できません。 SETTI_IRAISYO_NO=%1 MEI_NO=%2 SETTI_TEHAI_KBN=%3","fsol05","2009/07/27 11:15:30","fsol05","2009/07/27 11:16:12"
"BW006","4","修理手配データ_明細の修理_手配_区分が請求書区分に変換できません。 SYURI_IRAISYO_NO=%1 MEI_NO=%2 SYURI_TEHAI_KBN=%3","fsol05","2009/07/27 11:17:15","fsol05","2009/07/27 11:17:15"
"BW007","4","コード変換E(%1) %2,%3","lpa03","2009/11/12 13:12:30","lpa03","2009/11/12 13:12:30"
"BW008","4","無効な得意先です。得意先CD=%1 伝票NO=%2 状態=%3","fsol10","2011/02/07 10:34:26","fsol10","2011/02/07 14:45:20"
"BW009","4","取引条件がありませんでした。%1","fsol10","2011/02/07 10:34:26","fsol10","2011/02/07 10:34:26"
"BW010","4","親子計算方法は按分ですが、値引区分に「卸得意先別単価にて設定」が設定されています。%1","fsol10","2011/02/07 10:34:26","fsol10","2011/02/07 10:34:26"
"BW011","4","処理中に異常が発生しました。請求先CD=%1","fsol10","2011/02/07 10:34:26","fsol10","2011/02/07 14:46:17"
"BW012","4","破産残高データに最新レコードが登録されていません。得意先CD=%1","fsol10","2011/02/07 10:34:26","fsol10","2011/02/07 14:46:42"
"BW014","4","%1が作成されています。","fsol12","2011/03/18 14:58:45","fsol12","2011/03/18 14:58:45"
"BW999","4","%1","fsol12","2008/11/28 17:34:56","fsol12","2008/11/28 17:34:56"
"C994","3","アプリケーションサーバへのログ出力に失敗しました。","fsol00","2008/08/15 11:40:38","fsol00","2008/08/15 11:42:26"
"C995","3","「{0}」は印刷プレビューの表示タイプとして正しくありません。","fsol00","2008/08/15 11:40:38","fsol00","2008/08/15 11:42:32"
"C996","3","OWFファイルが設定されていません。","fsol00","2008/08/15 11:40:38","fsol00","2008/08/15 11:42:37"
"C997","3","OWFファイル名が設定されていません。","fsol00","2008/08/15 11:40:38","fsol00","2008/08/15 11:42:44"
"C998","3","行番号は0以上を指定してください。","fsol00","2008/08/15 11:40:38","fsol00","2008/08/15 11:42:49"
"C999","3","クライアントでエラーが発生しました。","fsol00","2008/08/15 11:40:38","fsol00","2008/08/15 11:42:56"
"E000","3","%1","base00","2009/03/15 14:34:41","base00","2009/03/15 14:34:41"
"E001","3","「%1」は%2を入力して下さい。","fsol01","2008/05/02 19:56:47","fsol01","2008/05/02 20:09:39"
"E002","3","「%1」に入力したコード[%2]は%3で使用されています。","fsol01","2008/05/02 19:59:34","fsol01","2008/05/02 20:10:45"
"E003","3","「%1」に入力したコード[%2]は既に存在しています。","fsol01","2008/05/02 20:01:49","fsol01","2008/05/02 20:21:51"
"E004","3","明細の追加は%1件まで可能です。","fsol01","2008/05/02 20:03:27","fsol01","2008/05/02 20:11:25"
"E005","3","「%1」は01から28までの数字、もしくは99を入力して下さい。","fsol01","2008/05/02 20:05:30","lpa00","2010/02/23 10:47:02"
"E006","3","適用開始日に%1は指定できません。","fsol09","2008/05/09 11:55:18","fsol10","2008/12/19 10:46:54"
"E007","3","「%1」に入力したコード[%2]は指定できません。","fsol09","2008/05/09 12:03:15","fsol09","2008/05/09 12:03:15"
"E008","3","「%1」「%2」に入力したコード「%3」「%4」は既に存在しています。","fsol10","2008/05/10 20:04:48","fsol10","2008/05/10 20:04:48"
"E009","3","「%1」が[%2]の行は削除できません。","fsol01","2008/05/14 18:12:33","fsol01","2008/05/14 18:12:33"
"E010","3","%1は%2件以上の登録が必要です。","fsol01","2008/05/14 18:04:50","fsol01","2008/05/14 18:16:37"
"E011","3","アップロードファイルが見つかりません。","fsol09","2008/05/20 19:56:03","fsol09","2008/12/19 16:20:14"
"E012","3","「%1」以降に更新されたデータは存在しません。","fsol10","2008/05/23 11:45:05","fsol10","2008/05/23 11:45:21"
"E013","3","チャネル選択項目は必ず１つ以上選択してください。","fsol09","2008/06/06 21:59:42","fsol09","2008/06/06 21:59:42"
"E014","3","「%1」に過去日は入力できません","fsol09","2008/06/11 10:57:09","fsol09","2008/06/11 10:57:29"
"E015","3","適用終了日は、適用開始日より未来の日付を指定してください。","fsol09","2008/06/11 11:00:25","fsol09","2008/06/11 11:00:25"
"E016","3","既に他の利用者により更新されています。","wt01","2008/07/28 15:37:11","wt01","2008/08/04 21:12:32"
"E017","3","兼務切替中の為、起動出来ません。","wt01","2008/07/29 13:01:04","wt01","2008/07/29 13:02:20"
"E018","3","部署切替中の為、起動出来ません。","wt01","2008/07/29 13:01:21","wt01","2008/07/29 13:02:54"
"E019","3","代行切替中の為、起動出来ません。","wt01","2008/07/29 13:01:37","wt01","2008/07/29 13:03:06"
"E020","3","%LST_ROW_IDX%行目の「%IT_CAPTION%」は必ず選択してください。","wt01","2008/08/07 09:42:09","wt01","2008/08/07 09:42:09"
"E021","3","最終行の論理条件は選択を解除してください。","wt01","2008/08/07 09:43:58","wt01","2008/08/07 09:43:58"
"E022","3","SQLエラーが発生しました。：%1","wt01","2008/08/07 09:44:22","wt01","2008/08/07 09:44:22"
"E023","3","データ件数が%1件となり、CSV出力可能件数を超えたました。条件で絞り込んで下さい。","wt01","2008/08/07 09:44:59","wt01","2008/08/07 09:44:59"
"E024","3","テーブル名、または項目が一致しないため、検索条件を反映できません。","wt01","2008/08/07 09:45:35","wt01","2008/08/07 09:45:35"
"E025","3","既に他の利用者により削除されています。","wt01","2008/08/07 10:00:59","wt01","2008/08/07 10:00:59"
"E026","3","既に他の利用者により更新されています。再読込を行ってください。","wt01","2008/08/12 19:48:11","wt01","2008/08/12 19:48:11"
"E027","3","パラメータに「申請_番号」が設定されていません。","wt01","2008/08/25 17:14:58","wt01","2008/08/25 17:14:58"
"E028","3","パラメータに「申請_種別_コード」が設定されていません。","wt01","2008/08/25 17:15:22","wt01","2008/08/25 17:15:22"
"E029","3","パラメータに「承認_ルート_番号」が設定されていません。","wt01","2008/08/25 17:15:43","wt01","2008/08/25 17:15:43"
"E030","3","パラメータに「処理_区分」が設定されていません。","wt01","2008/08/25 17:16:05","wt01","2008/08/25 17:16:05"
"E031","3","処理_区分は「1」、「2」、「3」、「4」、「5」のみ設定可能です。","wt01","2008/08/25 17:16:24","wt01","2008/08/25 17:16:24"
"E032","3","パラメータに「取消_区分」が設定されていません。","wt01","2008/08/25 17:16:51","wt01","2008/08/25 17:16:51"
"E033","3","取消_区分は「0」、「1」のみ設定可能です。","wt01","2008/08/25 17:17:09","wt01","2008/08/25 17:17:09"
"E034","3","パラメータに「元_申請_番号」が設定されていません。","wt01","2008/08/25 17:17:28","wt01","2008/08/25 17:17:28"
"E035","3","パラメータに「伝票_日」が設定されていません。","wt01","2008/09/11 14:27:12","wt01","2008/09/11 14:27:12"
"E036","3","該当伝票の承認ルート関連のマスタが設定されていません。","wt01","2008/09/16 13:35:00","wt01","2008/09/16 13:35:00"
"E037","3","パラメータに「確定された場合に実行するメソッド」が設定されていません。","wt03","2008/09/19 14:45:34","wt03","2008/09/19 14:48:25"
"E038","3","%1「%2」は指定できません。","lpa00","2008/10/10 14:52:58","lpa00","2008/10/10 14:52:58"
"E039","3","「%1」の%2に失敗しました。","lpa00","2008/10/10 14:53:26","lpa00","2008/10/10 14:53:26"
"E040","3","「%1」に採番したコード[%2]は%3で使用されています。","lpa01","2008/10/10 16:51:24","lpa01","2008/10/10 16:51:24"
"E041","3","「%1」は（%2～%3）の範囲内で入力してください。","fsol10","2008/10/16 23:10:48","base01","2009/08/01 13:34:15"
"E042","3","該当するデータは見つかりませんでした。","lpa03","2008/10/20 09:59:15","lpa03","2008/10/20 09:59:15"
"E043","3","一覧から%1を選択してください。","lpa03","2008/10/20 10:00:14","lpa03","2008/10/20 10:00:14"
"E044","3","「%1」は重複しています。","lpa02","2008/10/21 15:43:04","lpa02","2008/10/21 15:43:04"
"E045","3","「%1」が入力されている場合、「%2」は必須です。","lpa03","2008/10/21 17:59:00","lpa03","2008/10/21 18:00:30"
"E046","3","「%1」を選択していてかつ「%2」が未入力の場合、「%3」は必須です。","lpa03","2008/10/21 18:08:36","lpa03","2008/10/21 18:08:52"
"E047","3","指定されたデータは既に管理部署で更新されています。","lpa02","2008/10/21 19:45:28","lpa02","2008/10/21 19:45:28"
"E048","3","%1を複数選択する事はできません。","lpa03","2008/10/23 11:42:33","lpa02","2008/11/10 15:39:24"
"E049","3","%1、%2できません。","lpa00","2008/11/19 12:23:32","lpa00","2008/11/19 12:24:58"
"E050","3","「%1」に入力したコード[%2]は[%3]が存在しません。","base01","2008/10/28 10:49:07","base01","2008/10/28 10:49:07"
"E051","3","「%1」に入力した「%2」は%3に存在しません。","base01","2008/10/28 10:49:55","base01","2008/10/28 10:49:55"
"E052","3","「%1」に入力した「%2」は%3のため申請できません。","base01","2008/10/28 10:50:50","base01","2008/10/28 10:50:50"
"E053","3","%1行目の「%2」を入力してください。","base01","2008/10/28 11:10:51","base00","2008/11/28 22:01:42"
"E054","3","当伝票は確定済のため、取消できません。","base00","2008/11/28 22:13:03","base01","2008/12/19 11:12:59"
"E055","3","%1のいずれかを%2して下さい。","lpa03","2008/10/28 15:01:01","lpa02","2008/11/14 15:30:33"
"E056","3","「%1」に「%2」以上の金額を入力できません。","base00","2008/11/28 21:50:42","base00","2008/11/28 21:50:42"
"E057","3","「%1」は「%2」の口座を設定してください。","base01","2008/10/28 18:06:49","base01","2008/10/28 18:06:49"
"E058","3","「%1」を入力する場合、「%2」を入力してください。","base01","2008/10/29 11:03:21","base01","2008/12/11 15:21:00"
"E059","3","選択された明細行の協定書が存在しません。","base01","2008/10/29 13:05:22","base01","2008/11/06 11:43:50"
"E060","3","得意先「%1」、支払先「%2」の「%3」を入力してください。","base00","2008/11/28 21:59:45","base00","2008/11/28 21:59:45"
"E061","3","「定率値引範囲FROM」が「定率値引範囲TO」を超えています。","fsol10","2008/10/31 20:19:32","fsol10","2008/11/11 16:40:44"
"E062","3","「%1」は「%2」より未来の日付を入力してください。","base01","2008/11/05 10:49:54","base01","2008/11/05 10:49:54"
"E063","3","呼出NO[%1]は確定された明細があるため、削除できません。","base01","2008/11/05 11:44:11","base01","2008/11/05 11:44:11"
"E064","3","既に振込データ作成済のため、可決できません。","base00","2009/01/05 14:35:33","base01","2009/04/10 17:36:07"
"E065","3","指定した呼出NO以外の売上報告書を取込できません。","base01","2008/11/05 11:48:28","base01","2008/12/22 13:13:35"
