コードID,項目順序,表示幅,項目名,キー値順序,名称値順序,検索順序,検索タイプ,ソート順序,開始キー,コントロールID,コントロール名,属性ID,コンディションID,コンディション名,フォーマットID,IMEモードID,IMEモード名,作成者ID,作成日付,更新者ID,更新日付
"承認ルートマスタ01","2","85","承認ルートNo","2","2","2","1","2","","TXT","テキストボックス","SB","","","00","2","オフ","fsol09","2008/07/16 09:59:32","fsol10","2009/04/02 21:53:26"
"承認ルートマスタ01","3","270","承認ルート名称","0","3","3","3","0","","TXT","テキストボックス","SN3","","","00","1","オン","fsol09","2008/07/16 09:59:32","fsol10","2009/04/02 21:53:26"
"承認ルートマスタ01","4","80","最終回送数","0","4","0","0","0","","","","","","","10","0","","fsol09","2008/07/16 09:59:32","fsol10","2009/04/02 21:53:26"
"承認ルートマスタ01","5","100","取戻可能回送数","0","5","0","0","0","","","","","","","10","0","","fsol09","2008/07/16 09:59:32","fsol10","2009/04/02 21:53:26"
"部署コードビュー02","1","70","部署コード","1","2","1","1","1","","TXT","テキストボックス","SB","","","00","2","オフ","fsol10","2008/09/01 10:50:14","fsol10","2009/06/01 09:23:04"
"部署コードビュー02","2","160","部署名称略称","0","3","2","3","0","","TXT","テキストボックス","SN5","","","00","1","オン","fsol10","2008/09/01 10:50:14","fsol10","2009/06/01 09:23:04"
"部署コードビュー02","3","0","部署名称","0","0","0","0","0","","","","","","","00","0","","fsol10","2008/09/01 10:50:14","fsol10","2009/06/01 09:23:04"
"部署コードビュー02","4","90","部署グループ","0","4","3","1","0","","TXT","テキストボックス","SB","","","00","2","オフ","fsol10","2008/09/01 10:50:14","fsol10","2009/06/01 09:23:04"
"部署コードビュー02","5","160","部署グループ名称","0","5","4","3","0","","TXT","テキストボックス","SN5","","","00","1","オン","fsol10","2008/09/01 10:50:14","fsol10","2009/06/01 09:23:04"
"部署コードビュー02","6","80","適用開始日","0","1","7","2","2","","TXT","テキストボックス","SC","","","00","2","オフ","fsol10","2008/09/01 10:50:14","fsol10","2009/06/01 09:23:04"
"部署コードビュー02","7","0","テーブル_物理_名称","0","0","5","2","0","","TXT","テキストボックス","SC","","","00","2","オフ","fsol09","2009/03/23 16:43:17","fsol10","2009/06/01 09:23:04"
"部署コードビュー02","8","0","リスト_非表示_区分","0","0","6","2","0","","TXT","テキストボックス","SG","","","00","2","オフ","fsol10","2009/01/25 16:18:50","fsol10","2009/06/01 09:23:05"
"部署コードビュー02","9","0","検索_データ_件数","0","0","0","0","0","","","","","","","11","0","","fsol09","2009/03/13 13:48:29","fsol10","2009/06/01 09:23:05"
"汎用コードビュー01","1","360","汎用識別コード","1","1","1","3","1","","TXT","テキストボックス","SC","","","00","2","オフ","fsol10","2008/08/19 10:58:35","fsol14","2008/10/22 14:40:37"
"会社名称01","1","200","","0","0","0","0","0","='KAISYA_NM'","","","","","","00","0","","fsol09","2009/02/16 10:48:20","fsol09","2009/03/15 15:45:55"
"会社名称01","2","200","","1","0","0","0","1","","","","","","","00","0","","fsol09","2009/02/16 10:48:21","fsol09","2009/03/15 15:45:55"
"会社名称01","3","1000","","0","1","0","0","0","","","","","","","00","0","","fsol09","2009/02/16 10:48:21","fsol09","2009/03/15 15:45:55"
"会社名称01","4","10","","0","0","0","0","0","='0'","","","","","","00","0","","fsol09","2009/02/16 10:48:21","fsol09","2009/03/15 15:45:55"
"名称コードビュー01","1","160","名称識別コード","1","1","1","3","1","","TXT","テキストボックス","SC","","","00","2","オフ","fsol10","2008/08/19 11:00:30","fsol10","2009/04/03 13:10:16"
"名称コードビュー01","2","250","名称備考","0","2","2","3","0","","TXT","テキストボックス","SN5","","","00","1","オン","fsol09","2009/03/18 17:25:52","fsol10","2009/04/03 13:10:16"
"社員コードビュー02","1","70","社員コード","1","4","1","1","3","","TXT","テキストボックス","SB","","","00","2","オフ","fsol10","2008/08/19 09:45:53","fsol10","2009/04/03 13:53:57"
"社員コードビュー02","2","210","社員名称","0","5","2","3","0","","TXT","テキストボックス","SN3","","","00","1","オン","fsol10","2008/08/19 09:45:53","fsol10","2009/04/03 13:53:57"
"社員コードビュー02","3","80","部署コード","0","1","4","2","1","","TXT","テキストボックス","SB","","","00","2","オフ","fsol10","2008/08/19 09:45:53","fsol10","2009/04/03 13:53:57"
"社員コードビュー02","4","140","部署名称略称","0","2","0","0","0","","","","","","","00","0","","fsol10","2008/08/19 09:45:53","fsol10","2009/04/03 13:53:57"
"社員コードビュー02","5","0","役職コード","0","0","0","0","0","","","","","","","00","0","","fsol10","2008/09/01 10:37:20","fsol10","2009/04/03 13:53:57"
"社員コードビュー02","6","260","役職名称","0","3","3","3","0","","TXT","テキストボックス","SN3","","","00","1","オン","fsol10","2008/08/19 09:45:53","fsol10","2009/04/03 13:53:57"
"社員コードビュー02","7","0","役職_コード_ソート用","0","0","0","0","2","","","","","","","00","0","","fsol10","2009/01/27 14:33:27","fsol10","2009/04/03 13:53:57"
"得意先コードビュー01","1","0","出力番号","0","0","0","0","1","","","","","","","00","0","","fsol10","2008/08/29 16:54:14","fsol10","2009/04/03 14:27:48"
"得意先コードビュー01","2","80","得意先コード","1","1","1","1","3","","TXT","テキストボックス","SB","","","00","2","オフ","fsol10","2008/08/19 10:39:48","fsol10","2009/04/03 14:27:48"
"得意先コードビュー01","3","200","得意先略称","0","2","2","3","0","","TXT","テキストボックス","SN3","","","00","1","オン","fsol10","2008/08/19 10:39:48","fsol10","2009/04/03 14:27:48"
"得意先コードビュー01","4","70","部署コード","0","3","3","1","2","","TXT","テキストボックス","SB","","","00","2","オフ","fsol10","2008/08/19 10:39:48","fsol10","2009/04/03 14:27:48"
"得意先コードビュー01","5","160","部署名称略称","0","4","4","3","0","","TXT","テキストボックス","SN3","","","00","1","オン","fsol10","2008/08/19 10:39:48","fsol10","2009/04/03 14:27:48"
"得意先コードビュー01","6","0","会社コード","0","0","5","2","0","","TXT","テキストボックス","SB1","","","00","2","オフ","fsol10","2008/08/19 10:39:48","fsol10","2009/04/03 14:27:48"
"取引条件コードビュー01","1","60","取引条件","1","1","1","1","1","","TXT","テキストボックス","SC","","","00","2","オフ","fsol10","2008/08/19 10:43:50","fsol10","2009/04/03 14:36:41"
"取引条件コードビュー01","2","270","取引条件名称","0","2","2","3","0","","TXT","テキストボックス","SN5","","","00","1","オン","fsol10","2008/08/19 10:43:50","fsol10","2009/04/03 14:36:41"
"取引条件コードビュー01","3","0","出力番号","0","0","0","0","2","","","","","","","00","0","","fsol10","2008/08/19 10:43:50","fsol10","2009/04/03 14:36:41"
"取引条件コードビュー01","4","80","部署コード","2","3","3","2","3","","TXT","テキストボックス","SB1","","","00","2","オフ","fsol10","2008/08/19 10:43:50","fsol10","2009/04/03 14:36:41"
"取引条件コードビュー01","5","150","部署名称略称","0","4","0","0","0","","","","","","","00","0","","fsol10","2008/08/19 10:43:50","fsol10","2009/04/03 14:36:41"
"役職コードビュー01","1","0","","0","0","1","2","1","","","","","","","00","0","","fsol10","2008/10/06 13:19:58","fsol10","2009/03/19 18:42:48"
"役職コードビュー01","2","0","","1","0","0","0","0","","","","","","","00","0","","fsol10","2008/10/06 13:19:58","fsol10","2009/03/19 18:42:48"
"役職コードビュー01","3","0","","0","1","0","0","0","","","","","","","00","0","","fsol10","2008/10/06 13:19:58","fsol10","2009/03/19 18:42:48"
"役職コードビュー01","4","0","","0","0","0","0","2","","","","","","","00","0","","fsol10","2009/01/27 15:13:23","fsol10","2009/03/19 18:42:48"
"役職コードビュー02","1","0","","0","0","1","2","1","","","","","","","00","0","","fsol09","2009/05/12 12:00:32","fsol09","2009/05/12 12:00:32"
"役職コードビュー02","2","0","","1","0","0","0","0","","","","","","","00","0","","fsol09","2009/05/12 12:00:32","fsol09","2009/05/12 12:00:32"
"役職コードビュー02","3","0","","0","1","0","0","0","","","","","","","00","0","","fsol09","2009/05/12 12:00:32","fsol09","2009/05/12 12:00:32"
"役職コードビュー02","4","0","","0","0","0","0","2","","","","","","","00","0","","fsol09","2009/05/12 12:00:32","fsol09","2009/05/12 12:00:32"
"回送先指定区分名称01","1","200","","0","0","0","0","0","='KAISOU_SAKI_KBN'","","","","","","00","0","","fsol10","2009/02/24 13:48:21","fsol10","2009/02/24 17:47:01"
"回送先指定区分名称01","2","70","区分_コード","1","0","0","0","1","","","","","","","00","0","","fsol10","2009/02/24 17:47:01","fsol10","2009/02/24 17:47:01"
"回送先指定区分名称01","3","400","","0","1","0","0","0","","","","","","","00","0","","fsol10","2009/02/24 13:48:21","fsol10","2009/02/24 17:47:01"
"回送先指定区分名称01","4","10","","0","0","0","0","0","='0'","","","","","","00","0","","fsol10","2009/02/24 13:48:21","fsol10","2009/02/24 17:47:01"
"承認権限名称01","1","200","","0","0","0","0","0","='SYOUNIN_KENGEN'","","","","","","00","0","","fsol09","2009/02/17 09:08:41","fsol10","2009/03/19 18:43:36"
"承認権限名称01","2","70","","1","0","0","0","1","","","","","","","00","0","","fsol09","2009/02/17 09:08:41","fsol10","2009/03/19 18:43:36"
"承認権限名称01","3","400","","0","1","0","0","0","","","","","","","00","0","","fsol09","2009/02/17 09:08:41","fsol10","2009/03/19 18:43:36"
"承認権限名称01","4","10","","0","0","0","0","0","='0'","","","","","","00","0","","fsol09","2009/02/17 09:08:41","fsol10","2009/03/19 18:43:36"
"部品マスタ01","1","140","部品コード","1","1","1","1","1","","TXT","テキストボックス","SC","","","00","2","オフ","fsol14","2009/04/20 11:56:20","fsol14","2009/09/25 14:25:20"
"部品マスタ01","2","800","部品名","0","2","2","3","0","","TXT","テキストボックス","SN5","","","00","0","なし","fsol14","2009/04/20 11:56:20","fsol14","2009/09/25 14:25:20"
"管理票番号機種対応マスタ01","1","90","管理No.(開始)","1","1","0","0","1","","","","","","","00","0","","fsol14","2009/04/20 11:39:39","fsol14","2009/09/25 14:22:19"
"管理票番号機種対応マスタ01","2","90","管理No.(終了)","0","2","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:39:39","fsol14","2009/09/25 14:22:19"
"管理票番号機種対応マスタ01","3","200","機種","0","3","1","1","0","","TXT","テキストボックス","SC","","","00","2","オフ","fsol14","2009/04/20 11:39:39","fsol14","2009/09/25 14:22:19"
"管理票番号機種対応マスタ01","4","150","機番(開始)","0","4","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:39:39","fsol14","2009/09/25 14:22:19"
"管理票番号機種対応マスタ01","5","150","機番(終了)","0","5","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:39:39","fsol14","2009/09/25 14:22:19"
"管理票番号機種対応マスタ01","6","40","台数","0","6","0","0","0","","","","","","","12","0","","fsol14","2009/04/20 11:39:39","fsol14","2009/09/25 14:22:19"
"リース会社マスタ01","1","120","リース会社コード","1","1","0","0","1","","","","","","","00","0","","fsol14","2009/04/20 11:05:35","fsol14","2009/09/25 09:44:09"
"リース会社マスタ01","2","400","リース会社名","0","2","1","3","0","","TXT","テキストボックス","SN5","","","00","0","なし","fsol14","2009/04/20 11:05:35","fsol14","2009/09/25 09:44:09"
"リース会社マスタ01","3","10","削除_区分","0","0","0","0","0","='0'","","","","","","00","0","","fsol14","2009/04/20 11:05:35","fsol14","2009/09/25 09:44:09"
"リース会社マスタ01","4","200","リース_振分_ファイル名","0","0","0","0","0","","","","","","","00","0","","fsol05","2009/05/19 10:30:00","fsol14","2009/09/25 09:44:09"
"安全設置名称01","1","200","識別_コード","0","0","0","0","0","='ANZEN_SETTI_KBN'","","","","","","00","0","","fsol05","2010/07/08 10:03:43","fsol05","2010/07/08 10:05:48"
"安全設置名称01","2","70","区分_コード","1","0","0","0","0","","","","","","","00","0","","fsol05","2010/07/08 10:03:43","fsol05","2010/07/08 10:05:48"
"安全設置名称01","3","400","区分_名称_１","0","1","0","0","0","","","","","","","00","0","","fsol05","2010/07/08 10:03:43","fsol05","2010/07/08 10:05:48"
"安全設置名称01","4","400","区分_名称_２","0","0","0","0","1","","","","","","","00","0","","fsol05","2010/07/08 10:03:43","fsol05","2010/07/08 10:05:48"
"安全設置名称01","5","10","削除_区分","0","0","0","0","0","='0'","","","","","","00","0","","fsol05","2010/07/08 10:03:43","fsol05","2010/07/08 10:05:48"
"部品メーカー名称01","1","200","識別_コード","0","0","0","0","0","='BUHIN_MAKER_CD'","","","","","","00","0","","fsol14","2009/04/21 18:20:38","fsol14","2009/09/25 14:34:13"
"部品メーカー名称01","2","70","ﾒｰｶｰｺｰﾄﾞ","1","1","0","0","1","","","","","","","00","0","","fsol14","2009/04/21 18:20:38","fsol14","2009/09/25 14:34:13"
"部品メーカー名称01","3","400","メーカー名","0","2","0","0","0","","","","","","","00","0","","fsol14","2009/04/21 18:20:38","fsol14","2009/09/25 14:34:13"
"部品メーカー名称01","4","10","削除_区分","0","0","0","0","0","='0'","","","","","","00","0","","fsol14","2009/04/21 18:20:38","fsol14","2009/09/25 14:34:13"
"部品メーカー名称02","1","200","識別_コード","0","0","0","0","0","='BUHIN_MAKER_CD'","","","","","","00","0","","fsol05","2009/07/09 09:51:49","fsol14","2009/09/25 15:30:40"
"部品メーカー名称02","2","70","ﾒｰｶｰｺｰﾄﾞ","1","0","0","0","1","","","","","","","00","0","","fsol05","2009/07/09 09:51:49","fsol14","2009/09/25 15:30:40"
"部品メーカー名称02","3","400","メーカー名","0","1","0","0","0","","","","","","","00","0","","fsol05","2009/07/09 09:51:49","fsol14","2009/09/25 15:30:40"
"部品メーカー名称02","4","10","削除_区分","0","0","0","0","0","='0'","","","","","","00","0","","fsol05","2009/07/09 09:51:49","fsol14","2009/09/25 15:30:40"
"故障箇所区分名称01","1","200","識別_コード","0","0","0","0","0","='KOSYOU_KASYO_KBN'","","","","","","00","0","","fsol14","2009/04/21 18:25:08","fsol05","2010/02/02 19:34:30"
"故障箇所区分名称01","2","70","故障_箇所_区分","1","0","1","1","0","","","","","","","00","0","","fsol14","2009/04/21 18:25:08","fsol05","2010/02/02 19:34:30"
"故障箇所区分名称01","3","400","故障_箇所_区分_名称","0","1","2","3","0","","","","","","","00","0","","fsol14","2009/04/21 18:25:08","fsol05","2010/02/02 19:34:30"
"故障箇所区分名称01","4","10","削除_区分","0","0","0","0","0","='0'","","","","","","00","0","","fsol14","2009/04/21 18:25:08","fsol05","2010/02/02 19:34:30"
"大分類名称01","1","200","識別_コード","0","0","0","0","0","='L_BUNRUI'","","","","","","00","0","","fsol14","2009/04/21 18:10:19","fsol14","2009/09/25 14:24:32"
"大分類名称01","2","80","大分類コード","1","1","0","0","1","","","","","","","00","0","","fsol14","2009/04/21 18:10:19","fsol14","2009/09/25 14:24:32"
"大分類名称01","3","400","大分類名","0","2","0","0","0","","","","","","","00","0","","fsol14","2009/04/21 18:10:19","fsol14","2009/09/25 14:24:32"
"大分類名称01","4","10","削除_区分","0","0","0","0","0","='0'","","","","","","00","0","","fsol14","2009/04/21 18:10:19","fsol14","2009/09/25 14:24:32"
"小分類名称01","1","200","識別_コード","0","0","0","0","0","='S_BUNRUI'","","","","","","00","0","","fsol14","2009/04/21 18:13:08","fsol14","2009/09/25 14:25:00"
"小分類名称01","2","80","小分類コード","1","1","0","0","0","","","","","","","00","0","","fsol14","2009/04/21 18:13:08","fsol14","2009/09/25 14:25:00"
"小分類名称01","3","270","小分類名１","0","2","0","0","0","","","","","","","00","0","","fsol14","2009/04/21 18:13:09","fsol14","2009/09/25 14:25:00"
"小分類名称01","4","270","小分類名２","0","3","0","0","0","","","","","","","00","0","","fsol05","2009/07/06 09:27:27","fsol14","2009/09/25 14:25:00"
"小分類名称01","5","10","削除_区分","0","0","0","0","0","='0'","","","","","","00","0","","fsol14","2009/04/21 18:13:09","fsol14","2009/09/25 14:25:00"
"覚書様式(自販機展開)名称01","1","200","識別_コード","0","0","0","0","0","='S2_OBOEGAKI_YOUSIKI'","","","","","","00","0","","fsol14","2009/04/23 18:16:47","fsol05","2010/02/02 19:33:38"
"覚書様式(自販機展開)名称01","2","70","覚書_様式","1","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/23 18:16:47","fsol05","2010/02/02 19:33:38"
"覚書様式(自販機展開)名称01","3","400","覚書_様式_名称","0","1","0","0","0","","","","","","","00","0","","fsol14","2009/04/23 18:16:47","fsol05","2010/02/02 19:33:38"
"覚書様式(自販機展開)名称01","4","10","削除_区分","0","0","0","0","0","='0'","","","","","","00","0","","fsol14","2009/04/23 18:16:47","fsol05","2010/02/02 19:33:38"
"支払明細書送付先01","1","200","識別_コード","0","0","0","0","0","='SIHA_MEI_SOUHU_SAKI'","","","","","","00","0","","fsol14","2009/04/21 18:23:01","fsol05","2010/02/02 19:33:52"
"支払明細書送付先01","2","70","支払_明細書_送付_先_コード","1","0","1","1","0","","","","","","","00","0","","fsol14","2009/04/21 18:23:01","fsol05","2010/02/02 19:33:52"
"支払明細書送付先01","3","400","支払_明細書_送付_先_名称","0","1","2","3","0","","","","","","","00","0","","fsol14","2009/04/21 18:23:01","fsol05","2010/02/02 19:33:52"
"支払明細書送付先01","4","10","削除_区分","0","0","0","0","0","='0'","","","","","","00","0","","fsol14","2009/04/21 18:23:01","fsol05","2010/02/02 19:33:52"
"修理内容名称01","1","200","識別_コード","0","0","0","0","0","='SYURI_NAIYOU_CD'","","","","","","00","0","","fsol14","2009/04/21 18:15:06","fsol14","2009/09/25 14:30:45"
"修理内容名称01","2","90","修理内容ｺｰﾄﾞ","1","1","0","0","1","","","","","","","00","0","","fsol14","2009/04/21 18:15:06","fsol14","2009/09/25 14:30:45"
"修理内容名称01","3","400","修理内容名称","0","2","0","0","0","","","","","","","00","0","","fsol14","2009/04/21 18:15:06","fsol14","2009/09/25 14:30:45"
"修理内容名称01","4","10","削除_区分","0","0","0","0","0","='0'","","","","","","00","0","","fsol14","2009/04/21 18:15:06","fsol14","2009/09/25 14:30:45"
"単独引上理由名称01","1","200","識別_コード","0","0","0","0","0","='TANDOKU_HIKIAGE_RIYU'","","","","","","00","0","","fsol05","2010/04/28 20:08:18","fsol05","2010/07/08 09:50:15"
"単独引上理由名称01","2","70","区分_コード","1","0","0","0","1","","","","","","","00","0","","fsol05","2010/04/28 20:08:18","fsol05","2010/07/08 09:50:15"
"単独引上理由名称01","3","400","区分_名称_１","0","1","0","0","0","","","","","","","00","0","","fsol05","2010/04/28 20:20:50","fsol05","2010/07/08 09:50:16"
"単独引上理由名称01","4","10","削除_区分","0","0","0","0","0","='0'","","","","","","00","0","","fsol05","2010/04/28 20:08:18","fsol05","2010/07/08 09:50:16"
"什器種類名称01","1","200","識別_コード","0","0","0","0","0","='ZYUKI_SYURUI_CD'","","","","","","00","0","","fsol14","2009/04/21 18:27:14","fsol05","2010/02/02 19:34:47"
"什器種類名称01","2","70","什器_種類_コード","1","0","1","1","1","","","","","","","00","0","","fsol14","2009/04/21 18:27:14","fsol05","2010/02/02 19:34:47"
"什器種類名称01","3","400","什器_種類_名称","0","1","2","3","0","","","","","","","00","0","","fsol14","2009/04/21 18:27:14","fsol05","2010/02/02 19:34:47"
"什器種類名称01","4","10","削除_区分","0","0","0","0","0","='0'","","","","","","00","0","","fsol14","2009/04/21 18:27:14","fsol05","2010/02/02 19:34:47"
"仕様名称マスタ01","1","20","仕様_項目_番号","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:47:46","fsol14","2009/09/25 14:24:06"
"仕様名称マスタ01","2","90","仕様内容コード","1","1","0","0","1","","","","","","","00","0","","fsol14","2009/04/20 11:47:46","fsol14","2009/09/25 14:24:06"
"仕様名称マスタ01","3","400","仕様内容名","0","2","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:47:46","fsol14","2009/09/25 14:24:06"
"TC作業会社マスタ03","1","50","業者_コード","0","0","0","0","1","","","","","","","00","0","","fsol14","2009/04/20 11:31:21","fsol05","2010/02/02 19:30:02"
"TC作業会社マスタ03","2","50","ＴＣ_作業_会社_コード","1","0","0","0","2","","","","","","","00","0","","fsol14","2009/04/20 11:31:21","fsol05","2010/02/02 19:30:02"
"TC作業会社マスタ03","3","400","ＴＣ_作業_会社_名称","0","1","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:31:21","fsol05","2010/02/02 19:30:02"
"TC作業会社マスタ03","4","10","業者_設置_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:31:21","fsol05","2010/02/02 19:30:02"
"TC作業会社マスタ03","5","10","業者_整備_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:31:21","fsol05","2010/02/02 19:30:02"
"TC作業会社マスタ03","6","10","業者_修理_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:31:21","fsol05","2010/02/02 19:30:02"
"TC作業会社マスタ03","7","10","業者_電気_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:31:21","fsol05","2010/02/02 19:30:02"
"TC作業会社マスタ03","8","10","業者_付帯_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:31:21","fsol05","2010/02/02 19:30:02"
"TC作業会社マスタ03","9","10","業者_その他_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:31:21","fsol05","2010/02/02 19:30:02"
"TC作業会社マスタ03","10","10","業者_運送_区分","0","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 11:31:21","fsol05","2010/02/02 19:30:02"
"TC作業会社マスタ03","11","10","削除_区分","0","0","0","0","0","='0'","","","","","","00","0","","fsol14","2009/04/20 11:31:21","fsol05","2010/02/02 19:30:02"
"TC作業明細マスタ01","1","30","ＴＣ_作業_明細_コード","1","0","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 15:34:42","fsol05","2010/02/02 19:34:10"
"TC作業明細マスタ01","2","400","ＴＣ_作業_明細_名称","0","1","0","0","0","","","","","","","00","0","","fsol14","2009/04/20 15:34:43","fsol05","2010/02/02 19:34:10"
