エンティティ物理名,エンティティ論理名,備考,登録担当者,登録日付,更新担当者,更新時間
"ZM_SYORI_KBN_CONTROL","処理区分制御マスタ","","wt02","2008/11/18 15:29:28","wt04","2009/03/23 10:31:00"
"ZM_SYOUHIN","商品マスタ","","fsol10","2008/07/15 17:58:14","fsol14","2009/12/10 16:19:46"
"ZM_SYOUNIN_ROUTE","承認ルートマスタ","","fsol10","2008/07/15 18:49:04","fsol09","2009/03/23 20:33:22"
"ZM_SYOUNIN_ROUTE_KAISOU","承認ルート回送マスタ","","fsol10","2008/07/16 09:22:44","fsol09","2009/03/24 19:11:43"
"ZM_SYSTEM","システムマスタ","","fsol10","2008/07/15 10:12:59","fsol10","2009/01/22 21:07:01"
"ZM_TOK","得意先マスタ","","lpa01","2008/08/18 19:30:20","fsol05","2010/10/01 13:25:43"
"ZM_TOK_LOG","得意先マスタ_ログ","","lpa01","2008/08/19 10:24:34","fsol07","2010/07/24 19:00:53"
"ZM_TOK_PST","得意先マスタ_過去","","lpa01","2008/08/19 10:25:18","fsol07","2010/07/24 23:21:49"
"ZM_TORIHIKI_ZKN","取引条件マスタ","","fsol10","2008/07/15 14:46:19","fsol14","2009/12/10 16:20:56"
"ZM_TORIHIKI_ZKN_CHANNEL","取引条件チャネル選択情報マスタ","","fsol10","2008/07/15 14:21:48","fsol14","2009/12/22 10:23:25"
"ZM_TORIHIKI_ZKN_LOG","取引条件マスタ_ログ","","fsol10","2008/07/15 16:28:40","fsol09","2009/03/24 19:14:08"
"ZM_TOUITU_ZKN","統一条件マスタ","","lpa00","2008/05/08 10:34:31","lpa01","2008/10/23 11:03:00"
"ZM_TYOKU_NEBIKI","直販累進値引マスタ","","fsol10","2008/07/16 10:14:23","fsol10","2008/09/30 10:53:29"
"ZM_WF_SINSEI_BUNRUI","WF申請分類マスタ","","fsol05","2008/06/24 14:31:42","fsol05","2009/01/16 20:28:23"
"ZM_WF_SINSEI_SYUBETU","WF申請種別マスタ","","wt03","2008/08/08 11:42:40","base03","2009/07/16 15:11:28"
"ZM_YAKUSYOKU","役職マスタ","","fsol09","2008/06/19 14:32:25","fsol09","2009/03/24 19:14:38"
"ZT_BAIKA_URI_RUI","売価別売上データ_累積","","sis05","2008/07/07 10:28:33","fsol05","2010/04/06 16:21:20"
"ZT_DAIKOU_KANRI_TYOU","代行管理帳データ","ADS3次：項目追加","sis05","2008/07/07 10:28:33","fsol12","2011/03/10 13:06:55"
"ZT_DENPYOU_URI","伝票別売上データ","","sis05","2008/07/07 10:28:33","fsol05","2010/04/06 16:05:15"
"ZT_FO_HURIKOMI","フルオペ振込抽出データ","","base01","2008/11/20 21:23:50","base00","2009/06/15 11:12:07"
"ZT_FO_KOUZA_TEISI_HENKOU","フルオペ口座停止変更データ","","sis05","2008/07/07 10:28:33","base03","2009/07/16 16:02:48"
"ZT_FO_SIHA_SYORI_TUTISYO","フルオペ支払処理通知書データ","","base00","2009/03/22 17:33:15","fsol06","2009/08/05 17:51:27"
"ZT_FO_TESURYOU_CALC","フルオペ手数料計算データ","ADS3次：項目追加","sis05","2008/07/07 10:28:33","fsol12","2011/03/10 13:07:47"
"ZT_G1_FO_SIHA_HED","G1フルオペ支払データ_ヘッダ","","sis05","2008/07/07 10:28:33","base03","2009/07/16 14:11:14"
"ZT_G1_FO_SIHA_MEI","G1フルオペ支払データ_明細","","base01","2008/11/10 10:12:59","base00","2009/05/12 18:00:43"
"ZT_G2_FO_SIHA_BUSYO_MEI","G2フルオペ支払_部署_明細","","base09","2008/12/08 13:38:08","base03","2009/07/16 14:23:56"
"ZT_G2_KAIKEI_REN_HED","G2会計連携テーブル_ヘッダ","","sis05","2008/07/07 10:28:33","base03","2009/07/16 14:33:36"
"ZT_G2_KAIKEI_REN_MEI1","G2会計連携テーブル_明細1","","sis05","2008/07/08 11:29:19","fsol14","2010/08/20 13:11:26"
"ZT_G2_KAIKEI_REN_MEI2","G2会計連携テーブル_明細2","","sis05","2008/07/08 11:29:19","base00","2009/07/14 14:51:56"
"ZT_GENERAL_CSV_PTN","汎用CSV検索パターンテーブル","","wt01","2008/07/29 14:30:00","wt04","2009/03/23 10:18:32"
"ZT_GENERAL_CSV_PTN_SYO","汎用CSV検索パターン詳細テーブル","","wt01","2008/07/29 14:42:55","wt04","2009/03/23 10:26:09"
"ZT_HG_KAIKEI_REN_HED","振込抽出後会計連携テーブル_ヘッダ","","base08","2008/12/05 16:28:04","base00","2009/07/08 13:37:37"
"ZT_HG_KAIKEI_REN_MEI1","振込抽出後会計連携テーブル_明細1","","base08","2008/12/05 16:51:02","base03","2009/07/16 17:09:42"
"ZT_HG_KAIKEI_REN_MEI2","振込抽出後会計連携テーブル_明細2","","base08","2008/12/05 19:17:27","fsol07","2010/06/10 13:24:45"
"ZT_HG_KAIKEI_REN_MEI3","振込抽出後会計連携テーブル_明細3","","base08","2008/12/05 19:53:32","fsol07","2010/06/10 13:25:45"
"ZT_HG_KAIKEI_SIME","会計締日設定テーブル","","base09","2008/12/05 14:53:49","fsol06","2009/03/24 17:05:34"
"ZT_INFO","通知テーブル","","wt03","2008/08/08 16:04:54","wt04","2009/03/23 10:33:38"
"ZT_K_KAIKEI_REN_HED","K会計連携テーブル_ヘッダ","","sis05","2008/07/08 09:43:00","base00","2009/06/16 19:39:21"
"ZT_K_KAIKEI_REN_MEI","K会計連携テーブル_明細","","sis05","2008/07/08 11:29:19","fsol07","2011/02/23 18:42:27"
"ZT_K_SINSEI_GAMEN_NAIYOU","K申請画面内容一時保存","","base02","2008/11/17 21:04:47","fsol07","2011/02/23 18:53:44"
"ZT_KARI_KAIKEI_REN_HED","仮計上会計連携テーブル_ヘッダ","","base01","2008/12/05 10:55:02","fsol07","2009/12/14 11:24:50"
"ZT_KARI_KAIKEI_REN_MEI","仮計上会計連携テーブル_明細","","base08","2008/12/05 13:22:00","fsol07","2009/12/14 11:35:44"
"ZT_KEIYAKUSYO_SOUHU","自販機契約書送付票テーブル","","lpa01","2008/06/02 10:29:33","fsol14","2009/12/22 10:25:36"
"ZT_KEIYAKUSYO_SOUHU_BS","自販機契約書送付票(売価詳細)テーブル","","lpa00","2008/07/11 14:28:37","fsol07","2009/04/02 16:15:34"
"ZT_KEIYAKUSYO_SOUHU_KT","自販機契約書送付票(協定書)テーブル","","lpa00","2008/07/11 14:24:27","fsol05","2009/10/30 17:47:15"
"ZT_KINKYU_TEISI","緊急停止テーブル","","wt02","2008/12/10 16:45:22","wt02","2008/12/10 16:45:22"
"ZT_KYOUTEISYO_ERR","協定書_エラー","","sis05","2008/07/07 10:28:33","base00","2010/02/04 21:15:14"
"ZT_L_KAIKEI_REN_HED","L会計連携テーブル_ヘッダ","","sis05","2008/07/07 10:28:33","fsol14","2009/12/10 16:26:57"
"ZT_L_KAIKEI_REN_MEI","L会計連携テーブル_明細","","sis05","2008/07/08 11:29:19","fsol14","2009/12/10 16:27:05"
"ZT_PG_STARTUP_INFO","プログラム起動情報","","wt02","2008/11/19 14:20:34","wt02","2008/11/19 14:20:34"
"ZT_SEIKYU_SUMI","請求済データ","","sis05","2008/07/07 10:28:33","base03","2009/07/16 17:30:57"
"ZT_SHN_BAIKA_BETU_URI_RUI","商品売価別売上データ_累積","","sis05","2008/07/07 10:28:33","fsol05","2010/04/06 15:59:53"
"ZT_SIHA_KURIKOSI","支払繰越データ","","sis05","2008/07/07 10:28:33","base03","2009/07/16 17:26:52"
"ZT_SIHA_MEI","支払明細データ","","fsol07","2011/03/14 10:49:49","fsol07","2011/03/18 18:32:23"
"ZT_TOK_BETU_URI_RUI","得意先別売上データ_累積","","base09","2008/12/05 20:26:41","fsol05","2010/04/06 16:15:43"
"ZT_TOK_IKAN","得意先移管データ","","fsol10","2008/11/26 13:55:55","fsol09","2009/03/24 18:28:16"
"ZT_TOK_TANTOU_MENTE","得意先担当者一括メンテデータ","","fsol10","2008/08/18 18:29:21","fsol10","2008/09/30 10:55:40"
"ZT_TORIHIKI_TEISI_LOG","取引停止_ログ","","lpa00","2008/07/11 16:36:15","fsol07","2011/02/23 19:06:17"
"ZT_TSKSIHA_BHEN_LOG","定時請求固定支払マスタ部署一括変換_ログ","","fsol07","2011/01/27 15:31:25","fsol07","2011/01/27 16:02:55"
"ZT_TYOUHYOU_KANRI","帳票管理テーブル","","base08","2008/12/05 16:14:29","base00","2009/03/26 18:30:21"
"ZT_URI_DENPYOU_HED","売上伝票データ_ヘッダ","","sis05","2008/07/07 10:28:33","base03","2009/07/16 16:18:39"
"ZT_URI_DENPYOU_MEI","売上伝票データ_明細","","sis05","2008/07/07 10:28:33","fsol05","2010/04/06 15:57:39"
"ZT_URI_HOUKOKU","売上報告データ","ADS3次：項目追加","sis05","2008/07/07 10:28:33","fsol12","2011/03/10 13:06:24"
"ZT_URI_HOUKOKU_BAIKA_BETU","売上報告(売価別)データ","","sis05","2008/07/07 10:28:33","base03","2009/07/16 16:38:09"
"ZT_URI_HOUKOKU_TESURYOU","売上報告(手入力手数料)データ","","sis05","2008/07/08 09:43:00","base03","2009/07/16 16:51:06"
"ZT_WF_DENPYOU","WF伝票テーブル","","wt03","2008/08/08 10:28:06","base03","2009/07/16 14:58:51"
"ZT_WF_DENPYOU_SYOUNIN","WF伝票承認テーブル","","wt03","2008/08/11 09:51:34","wt04","2009/03/23 10:36:54"
"ZT_WF_ZENKAI_KAISOU","WF前回回送テーブル","","wt03","2008/08/08 11:55:56","wt01","2008/09/11 13:57:08"
"ZT_YOBIDASI_NO","呼出NOデータ","ADS3次：項目追加","sis05","2008/07/07 10:28:33","fsol12","2011/03/10 13:07:15"
"ZV_BAIKA_SYOUSAI_TRG","売価詳細ビュー_トリガー","","lpa03","2008/12/02 13:55:42","lpa03","2009/01/21 17:35:38"
"ZV_CD_BUSYO_KENMU01","部署兼務コードビュー01","","fsol05","2008/07/03 15:36:31","fsol09","2009/07/31 15:26:26"
"ZV_CD_BUSYO01","部署コードビュー01","","fsol05","2008/08/20 17:13:42","fsol09","2009/07/30 13:52:21"
"ZV_CD_BUSYO02","部署コードビュー02","","fsol10","2008/09/01 10:44:42","fsol09","2009/03/23 16:45:59"
"ZV_CD_FO_SIHA01","フルオペ支払先コードビュー01","","lpa01","2008/09/08 19:35:53","lpa02","2008/12/15 19:27:10"
"ZV_CD_GENERAL_CSV01","汎用CSVコードビュー01","","fsol05","2008/07/03 16:06:56","wt01","2009/03/03 10:31:32"
"ZV_CD_GENERAL01","汎用コードビュー01","","fsol10","2008/08/18 20:38:58","fsol10","2008/08/18 20:38:58"
"ZV_CD_ITEM_INFO01","項目情報コードビュー01","","fsol05","2008/07/03 15:17:45","wt01","2009/03/03 10:29:07"
"ZV_CD_KOUIKI_KIGYOU_GRP01","広域企業グループコードビュー01","","lpa01","2008/09/08 19:37:31","lpa01","2008/12/19 12:43:15"
"ZV_CD_KOUIKI_KIGYOU_SUB01","広域企業サブグループコードビュー01","","lpa01","2008/09/08 19:39:08","lpa01","2008/10/23 09:59:43"
"ZV_CD_KOUIKI_KIGYOU01","広域企業コードビュー01","","lpa01","2008/09/08 19:38:31","lpa01","2008/10/23 09:58:44"
"ZV_CD_LOCATION01","ロケーションコードビュー01","","lpa01","2008/09/08 19:36:36","fsol14","2009/10/01 21:18:24"
"ZV_CD_MEISYOU01","名称コードビュー01","","fsol10","2008/08/18 20:39:36","fsol09","2009/03/18 17:10:54"
"ZV_CD_OBOEGAKI_BOKIN01","覚書(募金自販機)コードビュー01","","lpa01","2008/09/08 19:37:07","lpa02","2008/12/15 19:15:33"
"ZV_CD_REBATE_SIHA_ZKN01","リベート支払条件コードビュー01","","lpa01","2008/09/08 19:36:16","lpa02","2008/12/15 16:57:18"
"ZV_CD_SEG01","セグメントコードビュー01","","lpa01","2008/12/15 16:56:01","lpa01","2008/12/19 12:34:07"
"ZV_CD_SOUHU01","自販機契約書送付票コードビュー01","","lpa01","2008/09/10 11:39:25","base22","2009/08/11 18:00:05"
"ZV_CD_SYAIN_KENMU01","社員兼務コードビュー01","","fsol05","2008/07/03 15:23:23","fsol05","2008/09/08 17:51:50"
"ZV_CD_SYAIN01","社員コードビュー01","","fsol05","2008/07/03 15:21:00","wt02","2009/01/06 15:01:42"
"ZV_CD_SYAIN02","社員コードビュー02","","fsol10","2008/08/18 20:41:15","fsol10","2009/03/04 13:31:33"
"ZV_CD_TOK01","得意先コードビュー01","","fsol10","2008/08/18 20:45:06","fsol14","2008/12/04 16:42:13"
"ZV_CD_TORIHIKI_ZYOUKEN01","取引条件コードビュー01","","fsol10","2008/08/18 20:47:11","fsol09","2009/01/27 13:24:53"
"ZV_CD_TORIHIKI_ZYOUKEN02","取引条件コードビュー02","","fsol14","2008/11/27 10:43:52","fsol07","2009/04/03 16:43:54"
"ZV_CD_YAKU01","役職コードビュー01","","fsol10","2009/01/27 15:06:12","fsol10","2009/01/27 15:26:57"
"ZV_CD_YOBIDASI_NO01","呼出NOコードビュー01","ADS3次：項目追加","base01","2009/02/26 15:20:52","fsol12","2011/03/10 13:06:17"
"ZV_FO_SIHA_TRG","フルオペ支払先ビュー_トリガー","","lpa00","2008/12/01 17:08:03","lpa00","2008/12/24 11:06:06"
"ZV_FORM_BACKCOLOR","背景色ビュー","","wt02","2008/11/19 14:35:32","wt01","2009/01/21 14:17:14"
"ZV_LOCATION_TRG","ロケーションビュー_トリガー","","lpa01","2008/11/12 14:19:06","lpa01","2008/12/19 12:39:40"
"ZV_MEISYOU","名称マスタビュー","","fsol09","2009/02/16 23:19:12","fsol09","2009/03/23 16:28:13"
"ZV_REBATE_SIHA_ZKN_TRG","リベート支払条件ビュー_トリガー","","lpa03","2008/12/02 11:28:18","lpa02","2009/01/23 15:33:59"
"ZV_SYAIN_TRG","社員ビュー_トリガー","","fsol10","2009/01/13 10:10:01","fsol10","2009/03/23 19:03:29"
"ZV_SYSTEM","システムマスタビュー","","fsol09","2009/02/16 10:31:03","fsol09","2009/03/24 18:45:08"
"ZV_URI_KEIZYOU_CALENDAR","売上計上カレンダビュー","","fsol09","2008/11/05 10:05:00","fsol10","2009/03/23 19:12:38"
"ZW_BOKIN_ZIHANKI_HENKOU","募金自販機ロケ変更中間ワーク","","lpa02","2008/08/20 15:43:41","lpa02","2009/01/09 18:50:39"
"ZW_FO_TESURYOU_CALC","フルオペ手数料計算データワークテーブル","","base08","2008/12/12 17:25:25","fsol07","2011/02/23 19:09:52"
"ZW_KEIYAKUSYO_SOUHU","自販機契約書送付票ワーク","","lpa03","2008/12/05 14:46:06","fsol07","2009/03/24 18:33:33"
"ZW_KOUIKI_KIGYOU_HENKOU","広域企業ロケ変更中間ワーク","","lpa02","2008/08/20 15:43:18","lpa03","2008/12/04 10:35:08"
"ZW_POST_NO_ERR","郵便番号取込_エラー","","fsol10","2008/12/08 13:34:07","fsol09","2009/03/23 16:14:55"
"ZW_POST_NO_TORIKOMI","郵便番号取込ワーク","","fsol10","2008/12/08 20:39:58","fsol05","2010/04/06 16:06:47"
"ZM_BUHIN","部品マスタ","修理、整備で使用する部品を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:47:54"
"ZM_BUHIN_TANKA","部品単価マスタ","部品、種類毎の単価を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:48:09"
"ZM_CLAIM","クレームマスタ","修理／クレームを管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 15:05:47"
"ZM_GENIN","原因マスタ","修理／原因を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:49:16"
"ZM_GYOUSYA","業者マスタ","業者を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:25:23"
"ZM_GYOUSYA_BUSYO_TAIOU","業者部署対応マスタ","業者と利用可能な部署を紐付けるマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:27:14"
"ZM_GYOUSYA_SIHA_TAIOU","業者支払対応マスタ","業者と会社毎の支払先を紐付けるマスタ","fsol05","2009/03/19 15:28:21","fsol07","2011/02/23 18:01:53"
"ZM_HOKEN_LMT_GAKU","保険限度額算出表マスタ","保険限度額を算出するためのマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:44:47"
"ZM_KANRIHYOU_NO_KISYU","管理票番号機種対応マスタ","管理票に応じた機種、機番を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 17:08:40"
"ZM_KANRIHYOU_NO_KISYU_SPC","管理票番号機種対応仕様マスタ","管理票に応じた機種仕様を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 17:08:48"
"ZM_KISYU","機種マスタ","機種を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:27:37"
"ZM_KISYU_SPEC","機種仕様マスタ","機種仕様01～50の項目を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:28:02"
"ZM_KOSYOU_KASYO","故障箇所マスタ","修理／故障箇所を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:48:39"
"ZM_LEASE_KAISYA","リース会社マスタ","リース会社を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:44:27"
"ZM_LOCATION_MBK","ロケーションマスタ_月次退避","前回締日時点のロケーションマスタ（本体月初稼働日夜間に退避）","fsol05","2009/03/19 15:28:21","fsol05","2010/04/06 15:59:01"
"ZM_SAGYOU_KAKAKU","作業価格マスタ","業者、手配毎の標準価格を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:28:28"
"ZM_SPEC_NM","仕様名称マスタ","機種仕様01～50で選択できる値を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:29:01"
"ZM_SYURI_KINGAKU","修理金額マスタ","故障箇所、修理内容毎の修理標準価格を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:48:58"
"ZM_TC","TCマスタ","業者、部署とＴＣを紐付けるマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:45:10"
"ZM_TC_KANRI_TESURYOU","TC管理手数料マスタ","ＴＣ、作業会社毎の手数料を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:46:07"
"ZM_TC_SAGYOU_KAISYA","TC作業会社マスタ","ＴＣから作業依頼を行う会社を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:45:28"
"ZM_TC_SAGYOU_MEISAI","TC作業明細マスタ","設置その他工事での作業明細を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:46:26"
"ZM_TC_SAGYOU_TANTOUSYA","TC作業担当者マスタ","作業会社毎の担当者を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:45:44"
"ZM_ZIHANKI_KANRIHYOU","自販機管理票マスタ","自販機の機器情報を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol05","2010/04/06 16:09:22"
"ZM_ZIHANKI_KANRIHYOU_MBK","自販機管理票マスタ_月次退避","前回締日時点の自販機管理票マスタ（本体月初稼働日夜間に退避）","fsol05","2009/03/19 15:28:21","fsol05","2010/04/06 16:20:38"
"ZM_ZIHANKI_LEASE","自販機リースマスタ","自販機のリース情報を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:31:43"
"ZM_ZIHANKI_LEASE_MBK","自販機リースマスタ_月次退避","前回締日時点の自販機リースマスタ（本体月初稼働日夜間に退避）","fsol05","2009/03/19 15:28:21","fsol05","2010/04/06 16:21:38"
"ZM_ZIHANKI_SETTI_SAKI","自販機設置先情報マスタ","自販機の現在設置先を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol05","2010/04/06 16:16:50"
"ZM_ZIHANKI_SETTI_SAKI_MBK","自販機設置先情報マスタ_月次退避","前回締日時点の自販機設置先情報マスタ（本体月初稼働日夜間に退避）","fsol05","2009/03/19 15:28:21","fsol05","2010/04/06 16:22:04"
"ZM_ZIHANKI_SPEC","自販機仕様マスタ","自販機の仕様情報を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:31:19"
"ZM_ZIHANKI_SPEC_MBK","自販機仕様マスタ_月次退避","前回締日時点の自販機仕様マスタ（本体月初稼働日夜間に退避）","fsol05","2009/03/19 15:28:21","fsol05","2010/04/06 16:18:44"
"ZM_ZIHANKI_TEHAI","自販機手配情報マスタ","自販機の手配状態を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol14","2009/12/11 11:32:46"
"ZM_ZIHANKI_TEHAI_MBK","自販機手配情報マスタ_月次退避","前回締日時点の自販機手配情報マスタ（本体月初稼働日夜間に退避）","fsol05","2009/03/19 15:28:21","fsol05","2010/04/06 16:19:10"
"ZM_ZYUKI","什器マスタ","什器の機器情報を管理するマスタ","fsol05","2009/03/19 15:28:21","fsol05","2009/12/11 18:43:45"
"ZM_ZYUKI_MBK","什器マスタ_月次退避","前回締日時点の什器マスタ（本体月初稼働日夜間に退避）","fsol05","2009/03/19 15:28:21","fsol05","2009/12/11 18:44:00"
"ZT_BUHIN_HIS","部品履歴データ","修理、整備で登録された部品の履歴データ","fsol05","2009/08/01 17:39:55","fsol14","2009/12/22 10:23:55"
"ZT_BUHIN_TANKA_HIS","部品単価履歴データ","修理、整備で登録された部品の単価履歴データ","fsol05","2009/08/01 17:40:12","fsol14","2009/12/22 10:25:08"
