コード名称,コードID,データ元エンティティ,最大検索件数,備考,作成者ID,作成日付,更新者ID,更新日付
"覚書様式マスタ01","ZM_OBOEGAKI_YOUSIKI01","覚書様式マスタ","0","","lpa01","2011/03/29 15:11:39","lpa01","2011/03/29 15:11:39"
"流通販促費目マスタ01","ZM_RHSK_HIMOKU01","流通販促費目マスタ","100","","lpa00","2011/03/10 09:51:34","lpa00","2011/04/05 09:13:13"
"呼出NO01","ZT_YOBIDASI_NO01","呼出NOコードビュー01","999","","sis02","2008/07/30 15:31:57","fsol12","2011/02/18 10:27:44"
"部署兼務コードビュー01","ZV_CD_BUSYO_KENMU01","部署兼務コードビュー01","100","","wt01","2008/07/04 14:06:33","fsol09","2009/07/31 15:31:45"
"部署コードビュー01","ZV_CD_BUSYO01","部署コードビュー01","100","","fsol10","2008/08/19 09:36:16","fsol09","2009/07/31 14:42:25"
"部署コードビュー03","ZV_CD_BUSYO03","部署コードビュー03","0","大同薬品工業","fsol20","2009/03/02 11:31:16","fsol20","2009/04/05 16:14:38"
"チェーンコードビュー01","ZV_CD_CHAIN01","チェーンコードビュー01","100","","lpa00","2011/03/10 11:02:05","lpa00","2011/04/05 09:26:15"
"伝票区分コードビュー01","ZV_CD_DENPYOU_KBN01","伝票区分コードビュー01","0","大同薬品工業","fsol20","2009/03/02 11:29:28","fsol20","2009/04/05 16:15:12"
"フルオペ支払先コードビュー01","ZV_CD_FO_SIHA01","フルオペ支払先コードビュー01","100","","lpa02","2008/09/11 12:00:56","lpa03","2009/02/27 16:53:56"
"汎用CSVコードビュー01","ZV_CD_GENERAL_CSV01","汎用CSVコードビュー01","0","DRLで使用するため、キー項目、表示項目のみ設定しています。","wt01","2008/07/04 19:38:56","wt01","2009/03/03 10:21:51"
"配送先コードビュー01","ZV_CD_HAISOU_SAKI01","配送先コードビュー01","100","","lpa00","2011/03/10 11:05:48","lpa00","2011/04/05 09:45:59"
"項目情報コードビュー01","ZV_CD_ITEM_INFO01","項目情報コードビュー01","0","DRLで使用するため、キー項目、表示項目のみ設定しています。","wt01","2008/07/04 19:41:14","wt01","2009/03/03 10:28:15"
"科目細目コードビュー01","ZV_CD_KAMOKU_SAIMOKU01","科目細目コードビュー01","0","大同薬品工業","fsol20","2009/03/02 11:25:25","fsol20","2009/04/05 16:16:56"
"科目細目コードビュー03","ZV_CD_KAMOKU_SAIMOKU03","科目細目コードビュー03","100","","lpa00","2011/03/10 13:25:57","lpa00","2011/03/10 13:29:35"
"科目コードビュー01","ZV_CD_KAMOKU01","科目コードビュー01","0","大同薬品工業","fsol20","2009/03/02 11:19:30","fsol20","2009/04/05 16:20:57"
"科目コードビュー03","ZV_CD_KAMOKU03","科目コードビュー03","100","","lpa00","2011/03/10 11:44:07","lpa00","2011/04/05 11:29:27"
"貸方細目コードビュー01","ZV_CD_KASIKATA_SAIMOKU01","貸方細目コードビュー01","0","大同薬品工業","fsol20","2009/03/02 11:16:11","fsol20","2009/04/05 16:22:31"
"企業１コードビュー01","ZV_CD_KIGYOU_101","企業１コードビュー01","100","","lpa00","2011/03/10 13:36:24","lpa00","2011/04/04 18:48:40"
"企業２グループコードビュー01","ZV_CD_KIGYOU_2_GRP01","企業２グループコードビュー01","100","","lpa00","2011/03/10 13:43:23","lpa00","2011/04/04 18:48:24"
"企業２コードビュー01","ZV_CD_KIGYOU_201","企業２コードビュー01","100","","lpa00","2011/03/10 13:50:44","lpa00","2011/04/04 18:48:58"
"広域企業グループコードビュー01","ZV_CD_KOUIKI_KIGYOU_GRP01","広域企業グループコードビュー01","100","","lpa01","2008/09/09 14:11:37","lpa01","2009/02/27 16:26:38"
"広域企業サブグループコードビュー01","ZV_CD_KOUIKI_KIGYOU_SUB01","広域企業サブグループコードビュー01","100","","lpa01","2008/09/09 14:41:36","lpa03","2009/02/27 16:54:14"
"広域企業コードビュー01","ZV_CD_KOUIKI_KIGYOU01","広域企業コードビュー01","100","","lpa01","2008/09/09 14:56:21","lpa03","2009/02/27 16:54:24"
"未収請求元コードビュー01","ZV_CD_MISYU_SEIKYU_MOTO01","未収請求元コードビュー01","100","","lpa00","2011/03/10 14:07:16","lpa00","2011/04/05 11:54:56"
"納品書明細コードビュー01","ZV_CD_NOUHIN_MEI01","納品書明細コードビュー01","0","大同薬品工業","fsol20","2009/03/02 11:08:10","fsol20","2009/04/06 10:56:16"
"覚書(募金自販機)コードビュー01","ZV_CD_OBOEGAKI_BOKIN01","覚書(募金自販機)コードビュー01","100","","lpa01","2008/09/09 17:08:34","lpa03","2009/02/27 16:56:09"
"費目コードビュー01","ZV_CD_OBOEGAKI_HMK01","費目コードビュー01","100","","lpa00","2011/03/10 14:13:46","lpa00","2011/04/05 13:21:53"
"覚書コードビュー01","ZV_CD_OBOEGAKI01","覚書コードビュー01","100","","lpa00","2011/03/10 14:26:03","lpa00","2011/04/05 13:14:33"
"リベート支払条件コードビュー01","ZV_CD_REBATE_SIHA_ZKN01","リベート支払条件コードビュー01","100","","lpa01","2008/09/09 13:21:14","lpa02","2009/02/27 16:43:50"
"旅費仮払社員コードビュー01","ZV_CD_RYOHI_KARI_SYAIN01","旅費仮払社員コードビュー01","100","","lpa00","2011/03/10 15:47:58","lpa00","2011/04/05 13:28:50"
"流通リベート条件コードビュー01","ZV_CD_RYUTU_REBATE_ZKN01","流通リベート条件コードビュー01","100","","lpa00","2011/03/10 17:20:48","lpa00","2011/04/05 13:39:46"
"セグメントコードビュー01","ZV_CD_SEG01","セグメントコードビュー01","100","","lpa01","2008/12/15 17:02:36","lpa02","2009/02/27 16:44:16"
"請求先コードビュー01","ZV_CD_SEIKYU_SAKI01","請求先コードビュー01","100","","lpa02","2008/09/11 12:08:06","fsol05","2011/02/22 20:23:33"
"請求先支払先対応コードビュー01","ZV_CD_SEIKYU_SIHA_TAIOU01","請求先支払先対応コードビュー01","100","","lpa00","2011/03/10 16:11:01","lpa00","2011/04/05 13:49:25"
"支払先コードビュー02","ZV_CD_SIHA02","支払先コードビュー02","100","","lpa00","2011/03/10 17:22:28","lpa00","2011/04/05 14:18:00"
"社員兼務コードビュー01","ZV_CD_SYAIN_KENMU01","社員兼務コードビュー01","100","","wt01","2008/07/04 13:50:28","wt01","2008/09/18 22:41:37"
"社員コードビュー01","ZV_CD_SYAIN01","社員コードビュー01","100","","wt01","2008/07/03 21:08:06","wt04","2009/03/03 14:26:52"
"商品コードビュー01","ZV_CD_SYOUHIN01","商品コードビュー01","100","","lpa00","2011/03/10 17:34:09","lpa00","2011/04/05 11:22:04"
"単位コードビュー01","ZV_CD_TANI01","単位コードビュー01","0","大同薬品工業","fsol20","2009/03/02 10:57:27","fsol20","2009/04/05 16:33:18"
"定時固定払コードビュー01","ZV_CD_TEIZI_K_BARAI01","定時固定払コードビュー01","100","","lpa00","2011/03/10 17:36:37","lpa00","2011/04/05 14:42:58"
"定時請求払コードビュー01","ZV_CD_TEIZI_S_BARAI01","定時請求払コードビュー01","100","","lpa00","2011/03/10 17:47:42","lpa00","2011/04/05 14:54:16"
"得意先コードビュー06","ZV_CD_TOK06","得意先コードビュー06","100","","lpa00","2011/03/10 17:58:12","lpa00","2011/04/05 15:17:00"
"取引先情報参照コードビュー01","ZV_CD_TORIHIKI_INFO01","取引先情報参照コードビュー01","0","大同薬品工業
","fsol20","2009/03/02 10:53:09","fsol20","2009/04/05 16:34:11"
"取引条件コードビュー02","ZV_CD_TORIHIKI_ZYOUKEN02","取引条件コードビュー02","100","","fsol14","2008/11/27 10:54:35","fsol07","2009/09/03 17:28:42"
"取引先支払先対応コードビュー01","ZV_CD_TRHK_SIHA_TAIOU01","取引先支払先対応コードビュー01","100","","lpa00","2011/03/10 16:28:14","lpa00","2011/04/05 10:30:13"
"帳合先コードビュー01","ZV_CD_TYOUAI_SAKI01","帳合先コードビュー01","0","","lpa00","2011/03/10 16:30:32","lpa00","2011/04/05 15:27:33"
"薬品購入商品コードビュー01","ZV_CD_YH_SYOUHIN01","薬品購入商品コードビュー01","0","大同薬品工業","fsol20","2009/03/02 10:46:09","fsol20","2009/06/04 09:35:21"
"上位帳合先コードビュー01","ZV_CD_ZYOUI_TYOUAI_SAKI01","上位帳合先コードビュー01","100","","lpa00","2011/03/10 17:08:12","lpa00","2011/04/05 15:28:33"
"業務区分名称01","ZV_MEI_GYOUMU_KBN01","名称コードビュー02","0","","lpa04","2009/10/06 15:35:54","lpa04","2010/06/08 17:58:38"
